Player,Team,GP,GS,MPG,PPG,APG,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,DRB,STL,BLK,TOV,PF
Quincy Acy,TOT,63,0,13.4,2.7,0.4,1.0,2.2,.468,0.1,0.2,.267,.482,0.6,0.8,.660,1.1,2.3,0.4,0.4,0.5,1.9
Quincy Acy,TOR,7,0,8.7,2.7,0.6,0.9,2.0,.429,0.3,0.7,.400,.500,0.7,1.1,.625,0.7,1.4,0.6,0.4,0.3,1.1
Quincy Acy,SAC,56,0,14.0,2.7,0.4,1.1,2.3,.472,0.0,0.2,.200,.480,0.5,0.8,.667,1.2,2.4,0.3,0.4,0.5,2.0
Steven Adams,OKC,81,20,14.8,3.3,0.5,1.1,2.3,.503,0.0,0.0,,.503,1.0,1.7,.581,1.8,2.3,0.5,0.7,0.9,2.5
Jeff Adrien,TOT,53,12,18.1,6.8,0.7,2.7,5.2,.520,0.0,0.0,,.520,1.4,2.2,.639,1.9,3.8,0.5,0.7,0.7,2.0
Jeff Adrien,CHA,25,0,10.2,2.3,0.3,0.9,1.6,.550,0.0,0.0,,.550,0.5,1.0,.520,1.3,2.2,0.3,0.6,0.3,1.4
Jeff Adrien,MIL,28,12,25.2,10.9,1.1,4.3,8.4,.515,0.0,0.0,,.515,2.3,3.4,.670,2.5,5.3,0.6,0.8,1.1,2.6
Arron Afflalo,ORL,73,73,35.0,18.2,3.4,6.4,13.8,.459,1.8,4.1,.427,.522,3.8,4.6,.815,0.4,3.2,0.5,0.0,2.0,1.9
Alexis Ajinça,NOP,56,30,17.0,5.9,0.7,2.4,4.4,.546,0.0,0.0,.000,.546,1.0,1.2,.836,1.7,3.3,0.4,0.8,1.1,3.3
Cole Aldrich,NYK,46,2,7.2,2.0,0.3,0.7,1.3,.541,0.0,0.0,,.541,0.6,0.7,.867,0.8,2.0,0.2,0.7,0.4,0.9
LaMarcus Aldridge,POR,69,69,36.2,23.2,2.6,9.4,20.6,.458,0.0,0.2,.200,.459,4.3,5.2,.822,2.4,8.7,0.9,1.0,1.8,2.1
Lavoy Allen,TOT,65,2,16.5,4.7,1.1,2.1,4.6,.447,0.0,0.2,.154,.450,0.5,0.8,.660,1.8,3.0,0.4,0.5,0.7,1.9
Lavoy Allen,PHI,51,2,18.8,5.2,1.3,2.3,5.2,.440,0.0,0.3,.154,.444,0.5,0.8,.675,2.1,3.4,0.4,0.5,0.8,2.3
Lavoy Allen,IND,14,0,8.0,2.9,0.4,1.2,2.4,.500,0.0,0.0,,.500,0.4,0.7,.600,0.9,1.5,0.1,0.4,0.3,0.8
Ray Allen*,MIA,73,9,26.5,9.6,2.0,3.3,7.4,.442,1.6,4.2,.375,.549,1.4,1.6,.905,0.3,2.5,0.7,0.1,1.2,1.6
Tony Allen,MEM,55,28,23.2,9.0,1.7,3.7,7.5,.494,0.2,0.9,.234,.507,1.4,2.2,.628,1.4,2.3,1.6,0.3,1.6,2.2
Al-Farouq Aminu,NOP,80,65,25.6,7.2,1.4,2.9,6.2,.474,0.2,0.6,.271,.487,1.1,1.7,.664,1.6,4.6,1.0,0.5,1.1,1.8
Lou Amundson,TOT,19,0,9.7,2.0,0.3,0.8,1.7,.500,0.0,0.0,,.500,0.3,1.3,.250,1.5,1.4,0.5,0.6,0.7,2.6
Lou Amundson,NOP,18,0,10.2,2.1,0.3,0.9,1.8,.500,0.0,0.0,,.500,0.3,1.3,.250,1.6,1.5,0.5,0.6,0.8,2.7
Lou Amundson,CHI,1,0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Chris Andersen,MIA,72,0,19.4,6.6,0.3,2.5,3.8,.644,0.0,0.2,.250,.649,1.7,2.3,.710,1.8,3.5,0.4,1.3,0.7,2.3
Alan Anderson,BRK,78,26,22.7,7.2,1.0,2.5,6.2,.400,1.1,3.2,.339,.487,1.2,1.5,.780,0.5,1.7,0.6,0.1,0.8,1.9
James Anderson,PHI,80,62,28.9,10.1,1.9,3.9,9.0,.431,1.4,4.4,.328,.511,1.0,1.3,.726,0.7,3.0,0.9,0.4,1.3,1.9
Ryan Anderson,NOP,22,14,36.1,19.8,0.8,7.0,16.1,.438,3.0,7.5,.409,.532,2.7,2.8,.952,3.0,3.5,0.5,0.3,0.9,2.1
