Player,Team,GP,GS,MPG,PPG,APG,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,DRB,STL,BLK,TOV,PF
Quincy Acy,SAC,59,29,14.8,5.2,0.5,2.0,3.6,.556,0.3,0.8,.388,.600,0.8,1.2,.735,1.1,2.1,0.5,0.4,0.5,1.7
Jordan Adams,MEM,2,0,7.5,3.5,1.5,1.0,3.0,.333,0.0,0.5,.000,.333,1.5,2.5,.600,0.0,1.0,1.5,0.0,1.0,1.0
Steven Adams,OKC,80,80,25.2,8.0,0.8,3.3,5.3,.613,0.0,0.0,,.613,1.4,2.5,.582,2.7,3.9,0.5,1.1,1.1,2.8
Arron Afflalo,NYK,71,57,33.4,12.8,2.0,5.0,11.3,.443,1.3,3.4,.382,.500,1.5,1.8,.840,0.3,3.4,0.4,0.1,1.2,2.0
Alexis Ajinça,NOP,59,17,14.6,6.0,0.5,2.5,5.3,.476,0.0,0.0,.000,.476,0.9,1.1,.839,1.3,3.3,0.3,0.6,0.9,2.3
Cole Aldrich,LAC,60,5,13.3,5.5,0.8,2.2,3.8,.596,0.0,0.0,,.596,1.0,1.4,.714,1.4,3.4,0.8,1.1,1.1,2.3
LaMarcus Aldridge,SAS,74,74,30.6,18.0,1.5,7.2,14.1,.513,0.0,0.2,.000,.513,3.5,4.1,.858,2.4,6.2,0.5,1.1,1.3,2.0
Cliff Alexander,POR,8,0,4.5,1.3,0.0,0.6,1.3,.500,0.0,0.0,,.500,0.0,0.0,,0.3,0.5,0.1,0.3,0.1,0.1
Lavoy Allen,IND,79,28,20.2,5.4,1.0,2.4,4.7,.516,0.0,0.0,,.516,0.6,0.9,.630,2.1,3.3,0.3,0.5,0.9,1.9
Tony Allen,MEM,64,57,25.3,8.4,1.1,3.4,7.3,.458,0.2,0.7,.357,.474,1.4,2.2,.652,1.6,3.0,1.7,0.3,1.2,2.7
Al-Farouq Aminu,POR,82,82,28.5,10.2,1.7,3.6,8.8,.416,1.5,4.3,.361,.503,1.4,1.9,.737,1.2,4.9,0.9,0.6,1.5,2.1
Lou Amundson,NYK,29,0,7.0,1.8,0.4,0.7,1.8,.358,0.0,0.0,,.358,0.5,0.9,.519,0.8,0.9,0.2,0.2,0.5,1.5
Chris Andersen,TOT,27,15,14.9,3.9,0.4,1.4,2.7,.528,0.1,0.5,.286,.556,0.9,1.3,.694,1.3,2.3,0.6,0.5,0.3,1.1
Chris Andersen,MIA,7,1,5.1,1.9,0.4,0.6,1.4,.400,0.3,0.7,.400,.500,0.4,0.6,.750,0.4,0.9,0.1,0.4,0.3,0.6
Chris Andersen,MEM,20,14,18.3,4.6,0.5,1.7,3.1,.548,0.1,0.5,.222,.565,1.1,1.6,.688,1.7,2.8,0.7,0.5,0.4,1.3
Alan Anderson,WAS,13,0,14.8,5.0,1.1,1.6,4.5,.356,0.9,2.8,.324,.458,0.8,1.2,.733,0.1,2.0,0.3,0.1,0.2,1.9
James Anderson,SAC,51,15,14.1,3.5,0.8,1.3,3.5,.376,0.5,1.7,.267,.441,0.4,0.6,.759,0.3,1.4,0.4,0.3,0.8,1.1
Justin Anderson,DAL,55,9,11.8,3.8,0.5,1.3,3.2,.406,0.4,1.5,.265,.469,0.8,1.0,.800,0.3,2.1,0.3,0.5,0.4,0.8
Kyle Anderson,SAS,78,11,16.0,4.5,1.6,1.8,3.8,.468,0.2,0.5,.324,.488,0.8,1.1,.747,0.3,2.8,0.8,0.4,0.8,1.2
