Player,Team,GP,MP,PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,STL,BLK,TOV,PF,ORtg,DRtg
Quincy Acy,SAC,59,876,16.8,1.5,6.5,11.7,.556,1.0,2.7,.388,2.7,3.7,.735,3.6,6.7,1.6,1.3,1.5,5.6,124,108
Jordan Adams,MEM,2,15,24.0,10.3,6.9,20.6,.333,0.0,3.4,.000,10.3,17.2,.600,0.0,6.9,10.3,0.0,6.9,6.9,84,90
Steven Adams,OKC,80,2014,15.7,1.5,6.4,10.5,.613,0.0,0.0,,2.8,4.8,.582,5.4,7.7,1.0,2.2,2.1,5.5,123,105
Arron Afflalo,NYK,71,2371,19.7,3.1,7.7,17.3,.443,2.0,5.2,.382,2.4,2.8,.840,0.5,5.3,0.5,0.2,1.8,3.1,105,112
Alexis Ajinça,NOP,59,861,20.3,1.8,8.6,18.1,.476,0.0,0.1,.000,3.0,3.6,.839,4.3,11.2,1.1,2.1,3.1,7.7,100,107
Cole Aldrich,LAC,60,800,20.5,3.1,8.4,14.1,.596,0.0,0.0,,3.8,5.3,.714,5.4,12.7,2.9,4.3,4.0,8.7,113,94
LaMarcus Aldridge,SAS,74,2261,30.1,2.5,12.1,23.7,.513,0.0,0.4,.000,5.9,6.8,.858,4.0,10.3,0.9,1.8,2.2,3.4,114,99
Cliff Alexander,POR,8,36,13.9,0.0,6.9,13.9,.500,0.0,0.0,,0.0,0.0,,2.8,5.6,1.4,2.8,1.4,1.4,100,107
Lavoy Allen,IND,79,1599,13.3,2.4,5.9,11.5,.516,0.0,0.0,,1.4,2.3,.630,5.0,8.1,0.8,1.3,2.1,4.6,110,104
Tony Allen,MEM,64,1620,17.0,2.2,6.8,14.9,.458,0.5,1.3,.357,2.9,4.4,.652,3.3,6.1,3.5,0.6,2.5,5.6,101,105
Al-Farouq Aminu,POR,82,2341,17.9,2.9,6.4,15.4,.416,2.7,7.5,.361,2.5,3.3,.737,2.1,8.6,1.5,1.1,2.6,3.7,105,107
Lou Amundson,NYK,29,204,13.1,3.0,4.8,13.4,.358,0.0,0.0,,3.5,6.8,.519,5.8,6.6,1.5,1.8,3.8,11.1,87,106
Chris Andersen,TOT,27,402,13.4,1.5,4.9,9.2,.528,0.5,1.8,.286,3.2,4.6,.694,4.6,7.9,1.9,1.7,1.2,3.7,127,106
Chris Andersen,MIA,7,36,18.5,4.3,5.7,14.2,.400,2.8,7.1,.400,4.3,5.7,.750,4.3,8.5,1.4,4.3,2.8,5.7,113,100
Chris Andersen,MEM,20,366,12.9,1.3,4.8,8.7,.548,0.3,1.3,.222,3.1,4.5,.688,4.6,7.9,2.0,1.4,1.0,3.5,129,106
Alan Anderson,WAS,13,192,16.5,3.6,5.3,15.0,.356,3.0,9.4,.324,2.8,3.8,.733,0.3,6.6,1.0,0.3,0.5,6.3,107,108
James Anderson,SAC,51,721,11.9,2.7,4.5,11.9,.376,1.5,5.7,.267,1.5,1.9,.759,0.9,4.9,1.4,0.9,2.8,3.6,87,111
Justin Anderson,DAL,55,647,16.4,2.3,5.6,13.8,.406,1.7,6.5,.265,3.5,4.3,.800,1.4,9.0,1.5,2.0,1.9,3.5,103,104
Kyle Anderson,SAS,78,1245,14.4,5.1,5.7,12.1,.468,0.5,1.5,.324,2.5,3.4,.747,1.0,9.0,2.5,1.2,2.4,4.0,104,97
Ryan Anderson,NOP,66,2008,27.8,1.8,9.8,22.9,.427,3.2,8.8,.366,4.9,5.6,.873,3.2,6.5,0.9,0.6,2.2,2.7,108,112
Giannis Antetokounmpo,MIL,80,2823,24.4,6.2,9.3,18.3,.506,0.5,2.0,.257,5.3,7.4,.724,2.0,9.0,1.7,2.0,3.8,4.7,109,106
Thanasis Antetokounmpo,NYK,2,6,51.4,0.0,25.7,34.3,.750,0.0,8.6,.000,0.0,0.0,,0.0,8.6,0.0,0.0,0.0,17.1,140,110
Carmelo Anthony,NYK,72,2530,32.0,6.1,11.5,26.6,.434,2.1,6.3,.339,6.8,8.2,.829,2.0,9.3,1.3,0.8,3.6,3.7,107,107
Joel Anthony,DET,19,96,9.5,0.5,3.2,5.3,.600,0.0,0.0,,3.2,4.2,.750,4.2,6.8,1.1,6.3,1.1,7.9,136,99
Keith Appling,ORL,5,27,11.1,1.9,3.7,14.8,.250,0.0,5.6,.000,3.7,3.7,1.000,0.0,1.9,1.9,0.0,5.6,9.3,57,110
Trevor Ariza,HOU,81,2859,17.6,3.2,6.1,14.8,.416,3.2,8.6,.371,2.2,2.8,.783,1.2,5.1,2.8,0.4,1.9,3.0,110,108
Darrell Arthur,DEN,70,1516,17.4,3.2,7.3,16.2,.452,1.5,3.9,.385,1.3,1.8,.755,2.8,6.8,1.8,1.6,2.2,6.1,104,108
Ömer Aşık,NOP,68,1178,11.3,1.1,4.4,8.2,.533,0.0,0.0,,2.6,4.7,.545,5.1,12.4,0.9,1.0,2.5,5.2,106,108
D.J. Augustin,TOT,62,1178,19.8,8.4,6.3,14.8,.423,2.9,7.1,.405,4.4,5.4,.805,0.3,3.7,1.6,0.2,3.6,3.6,113,111
D.J. Augustin,OKC,34,519,13.6,6.3,4.4,11.6,.380,2.3,5.8,.393,2.5,3.3,.765,0.5,3.6,1.2,0.2,2.9,3.9,106,110
