Player,Team,GP,MP,PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,STL,BLK,TOV,PF,ORtg,DRtg
Álex Abrines,OKC,31,588,13.1,1.6,4.4,12.5,.357,3.3,10.1,.323,1.0,1.0,.923,0.4,3.4,1.3,0.5,1.1,4.2,103,111
Quincy Acy,PHO,10,123,6.6,3.1,1.6,7.0,.222,0.8,5.8,.133,2.7,3.9,.700,1.2,8.5,0.4,1.6,1.6,9.3,87,116
Jaylen Adams,ATL,34,428,11.7,7.0,4.1,11.9,.345,2.7,8.0,.338,0.8,1.0,.778,1.2,5.3,1.5,0.5,3.0,4.9,99,115
Steven Adams,OKC,80,2669,19.4,2.2,8.4,14.1,.595,0.0,0.0,.000,2.6,5.1,.500,6.8,6.5,2.0,1.3,2.4,3.6,120,106
Bam Adebayo,MIA,82,1913,18.6,4.7,7.2,12.4,.576,0.1,0.4,.200,4.2,5.8,.735,4.2,11.0,1.8,1.7,3.1,5.2,120,104
Deng Adel,CLE,19,194,8.2,1.3,2.8,9.2,.306,1.5,5.9,.261,1.0,1.0,1.000,0.8,4.1,0.3,1.0,1.5,3.3,85,121
DeVaughn Akoon-Purcell,DEN,7,22,15.6,13.4,6.7,22.3,.300,0.0,8.9,.000,2.2,4.5,.500,2.2,6.7,4.5,0.0,4.5,8.9,84,104
LaMarcus Aldridge,SAS,81,2687,31.4,3.5,12.4,24.0,.519,0.2,0.8,.238,6.3,7.5,.847,4.6,9.0,0.8,1.9,2.6,3.3,117,110
Rawle Alkins,CHI,10,120,15.0,5.3,5.3,15.8,.333,1.2,4.8,.250,3.2,4.8,.667,4.4,6.1,0.4,0.0,3.2,2.8,93,117
Grayson Allen,UTA,38,416,24.3,2.9,7.7,20.5,.376,3.7,11.4,.323,5.2,6.9,.750,0.3,2.3,0.7,0.7,3.8,5.4,95,111
Jarrett Allen,BRK,80,2096,19.8,2.5,7.6,12.9,.590,0.1,1.0,.133,4.5,6.3,.709,4.3,10.9,1.0,2.7,2.3,4.2,123,106
Kadeem Allen,NYK,19,416,21.9,8.8,7.5,16.3,.461,2.0,4.2,.472,4.9,6.3,.778,0.9,5.0,1.9,0.5,3.0,5.3,116,114
Al-Farouq Aminu,POR,81,2292,16.1,2.2,5.4,12.5,.433,2.0,5.9,.343,3.2,3.7,.867,2.4,10.5,1.4,0.7,1.5,3.0,118,109
Justin Anderson,ATL,48,463,17.8,2.3,6.4,15.7,.408,2.4,7.7,.312,2.6,3.5,.743,2.4,6.0,2.2,1.3,2.3,4.8,103,113
Kyle Anderson,MEM,43,1281,13.4,5.0,5.8,10.7,.543,0.3,1.3,.265,1.4,2.5,.578,1.9,7.9,2.1,1.4,2.3,4.3,110,107
Ryan Anderson,TOT,25,322,9.4,2.8,3.1,10.3,.304,1.3,6.0,.225,1.8,2.4,.750,2.7,5.4,0.6,0.1,2.1,3.7,90,118
Ryan Anderson,PHO,15,278,9.6,2.9,3.3,10.3,.317,1.2,5.8,.206,1.9,2.4,.786,2.4,5.3,0.5,0.2,2.1,4.0,91,119
Ryan Anderson,MIA,10,44,7.8,2.2,2.2,10.0,.222,2.2,6.7,.333,1.1,2.2,.500,4.4,5.6,1.1,0.0,2.2,2.2,86,111
Ike Anigbogu,IND,3,6,0.0,8.2,0.0,24.5,.000,0.0,0.0,,0.0,0.0,,8.2,16.3,0.0,8.2,8.2,0.0,33,96
Giannis Antetokounmpo,MIL,72,2358,39.3,8.4,14.2,24.6,.578,1.0,4.0,.256,9.9,13.5,.729,3.1,14.6,1.8,2.2,5.3,4.6,121,99
Kostas Antetokounmpo,DAL,2,11,8.8,0.0,0.0,13.2,.000,0.0,0.0,,8.8,17.6,.500,0.0,4.4,8.8,0.0,4.4,0.0,39,97
Carmelo Anthony,HOU,10,294,22.4,0.8,8.2,20.2,.405,3.5,10.7,.328,2.5,3.7,.682,1.5,7.5,0.7,1.2,1.3,5.3,103,112
OG Anunoby,TOR,67,1352,16.6,1.7,6.5,14.3,.453,2.4,7.2,.332,1.3,2.2,.581,2.1,4.9,1.6,0.8,1.9,5.0,104,109
Ryan Arcidiacono,CHI,81,1961,13.5,6.7,4.6,10.3,.447,2.0,5.4,.373,2.2,2.5,.873,0.7,4.7,1.6,0.1,1.6,4.2,121,115
Trevor Ariza,TOT,69,2349,17.5,5.1,5.9,14.9,.399,2.9,8.8,.334,2.6,3.3,.793,1.0,6.5,1.8,0.4,2.1,2.6,107,115
Trevor Ariza,PHO,26,884,13.9,4.7,4.6,12.3,.379,2.7,7.5,.360,1.9,2.3,.837,0.9,7.0,2.1,0.4,2.1,2.4,104,115
Trevor Ariza,WAS,43,1465,19.6,5.3,6.7,16.5,.409,3.1,9.5,.322,3.0,3.9,.777,1.1,6.2,1.7,0.4,2.2,2.8,109,115
D.J. Augustin,ORL,81,2269,20.4,9.2,6.9,14.6,.470,2.8,6.7,.421,3.9,4.5,.866,0.9,3.5,1.1,0.1,2.8,2.5,122,112
Deandre Ayton,PHO,71,2183,25.4,2.7,11.1,19.0,.585,0.0,0.1,.000,3.1,4.1,.746,4.9,11.1,1.3,1.5,2.8,4.6,117,113
Dwayne Bacon,CHO,43,759,20.2,3.0,7.8,16.5,.475,2.4,5.6,.437,2.2,2.9,.739,0.5,5.2,0.8,0.3,1.2,4.6,114,116
Marvin Bagley,SAC,62,1567,27.4,1.8,10.6,21.0,.504,0.9,2.9,.313,5.4,7.8,.691,4.8,9.2,1.0,1.8,2.9,3.6,111,110
Ron Baker,TOT,15,152,4.4,4.7,1.3,6.3,.200,0.3,4.1,.077,1.6,1.9,.833,0.3,3.2,1.9,0.3,1.6,5.7,79,116
Ron Baker,NYK,11,107,6.3,5.9,1.8,7.2,.250,0.5,4.1,.111,2.3,2.7,.833,0.5,2.7,2.3,0.0,1.4,7.2,94,115
Ron Baker,WAS,4,45,0.0,2.1,0.0,4.2,.000,0.0,4.2,.000,0.0,0.0,,0.0,4.2,1.1,1.1,2.1,2.1,20,117
Wade Baldwin,POR,16,94,15.5,6.2,5.2,17.0,.303,1.0,4.6,.222,4.1,5.7,.727,1.0,6.7,0.5,1.0,7.2,5.7,74,113
Lonzo Ball,LAL,47,1423,15.2,8.3,6.0,14.9,.406,2.5,7.5,.329,0.7,1.6,.417,1.8,6.4,2.3,0.6,3.4,3.7,100,109
Mohamed Bamba,ORL,47,766,18.7,2.5,7.5,15.5,.481,1.3,4.5,.300,2.4,4.0,.587,4.1,10.8,0.8,4.1,2.7,6.5,105,103
J.J. Barea,DAL,38,752,26.8,13.6,10.4,24.8,.418,2.5,8.3,.297,3.5,5.0,.705,0.8,5.3,1.4,0.1,4.6,3.2,105,113
Harrison Barnes,TOT,77,2533,23.8,2.2,8.1,19.4,.420,3.3,8.3,.395,4.3,5.2,.824,1.1,5.7,0.9,0.2,1.8,2.3,108,114
Harrison Barnes,DAL,49,1584,26.5,1.9,8.9,22.0,.404,3.7,9.5,.389,5.1,6.1,.833,1.1,5.2,1.0,0.3,2.1,2.4,106,113
Harrison Barnes,SAC,28,949,19.6,2.6,6.9,15.2,.455,2.6,6.4,.408,3.1,3.9,.800,1.0,6.5,0.8,0.1,1.5,2.1,115,114
Will Barton,DEN,43,1189,20.4,5.1,7.6,19.0,.402,2.8,8.1,.342,2.4,3.1,.770,1.3,6.9,0.7,0.9,2.7,3.4,102,111
Keita Bates-Diop,MIN,30,503,14.4,1.6,5.7,13.5,.423,1.2,5.0,.250,1.7,2.7,.643,1.5,6.4,1.7,1.3,1.3,2.8,100,113
Nicolas Batum,CHO,75,2354,14.4,5.1,5.2,11.6,.450,2.4,6.2,.389,1.6,1.8,.865,1.5,6.6,1.5,0.9,2.4,2.9,112,113
Jerryd Bayless,MIN,34,657,15.2,8.7,6.0,16.8,.357,2.1,7.1,.296,1.2,2.0,.571,0.8,3.7,1.3,0.1,2.3,4.1,98,117
Aron Baynes,BOS,51,821,16.7,3.3,6.2,13.1,.471,1.2,3.6,.344,3.1,3.6,.855,5.2,8.9,0.7,2.0,2.3,7.3,118,108
Kent Bazemore,ATL,67,1643,21.9,4.3,7.8,19.4,.402,2.7,8.4,.320,3.6,4.9,.726,1.0,6.3,2.5,1.2,3.4,4.8,98,112
Bradley Beal,WAS,82,3028,32.8,7.0,11.9,25.2,.475,3.3,9.3,.351,5.7,7.0,.808,1.4,5.0,1.9,0.9,3.5,3.5,113,114
Malik Beasley,DEN,81,1879,24.0,2.5,9.1,19.3,.474,4.3,10.6,.402,1.5,1.7,.848,0.9,4.3,1.4,0.3,1.4,3.0,117,112
Michael Beasley,LAL,26,277,30.4,4.2,12.6,25.7,.490,0.5,2.9,.176,4.7,6.6,.718,2.2,7.9,1.5,1.7,4.5,7.1,99,108
Marco Belinelli,SAS,79,1815,22.3,3.6,7.7,18.6,.413,4.0,10.6,.372,3.0,3.3,.903,0.4,4.9,0.9,0.2,1.9,3.3,109,114
Jordan Bell,GSW,68,788,13.5,4.6,6.0,11.6,.516,0.0,0.1,.000,1.5,2.5,.610,3.3,7.8,1.2,3.1,2.5,4.8,109,108
DeAndre' Bembry,ATL,82,1931,16.4,4.8,6.6,14.7,.446,1.2,4.1,.289,2.1,3.3,.640,1.3,7.3,2.5,1.0,3.4,4.5,97,112
Dragan Bender,PHO,46,826,13.3,3.2,5.1,11.4,.447,1.3,5.8,.218,1.8,3.1,.593,2.0,8.6,1.0,1.3,2.1,5.2,102,115
Dairis Bertāns,NOP,12,167,9.5,2.8,3.3,13.1,.255,2.8,9.5,.294,0.0,0.0,,0.6,1.9,0.3,0.0,0.6,1.9,86,120
Dāvis Bertāns,SAS,76,1632,18.1,3.0,6.1,13.6,.450,4.3,10.1,.429,1.6,1.8,.883,0.7,7.2,1.0,1.0,1.3,4.0,122,112
Patrick Beverley,LAC,78,2137,13.2,6.6,4.3,10.5,.407,2.5,6.2,.397,2.1,2.7,.780,1.7,6.9,1.5,0.9,1.9,5.9,119,111
Khem Birch,ORL,50,643,18.3,2.9,6.9,11.5,.603,0.0,0.1,.000,4.4,6.3,.699,6.0,8.4,1.4,2.2,1.5,5.5,134,106
Bismack Biyombo,CHO,54,783,14.7,2.0,5.5,9.7,.571,0.0,0.0,,3.6,5.7,.637,5.0,10.3,0.7,2.5,2.1,6.4,121,110
Nemanja Bjelica,SAC,77,1788,19.3,3.8,7.4,15.4,.479,2.7,6.7,.401,1.8,2.4,.761,3.3,8.3,1.4,1.5,2.1,5.1,117,110
Antonio Blakeney,CHI,57,829,24.5,2.5,9.7,23.2,.419,2.1,5.3,.396,2.9,4.4,.658,0.4,5.8,0.7,0.5,2.0,2.4,94,116
Eric Bledsoe,MIL,78,2272,25.4,8.8,9.6,19.9,.484,2.5,7.7,.329,3.6,4.8,.750,1.7,5.7,2.4,0.6,3.4,3.2,116,105
Jaron Blossomgame,CLE,27,439,12.9,1.5,5.3,12.0,.443,1.1,4.4,.256,1.1,1.5,.769,2.9,8.1,0.8,0.9,1.2,2.3,108,118
Bogdan Bogdanović,SAC,70,1947,23.7,6.4,8.6,20.6,.418,3.2,8.9,.360,3.2,3.9,.827,1.0,4.9,1.7,0.4,2.8,3.4,107,113
Bojan Bogdanović,IND,81,2573,27.6,3.1,9.9,20.0,.497,3.1,7.3,.425,4.7,5.8,.807,0.6,5.7,1.3,0.0,2.5,2.6,114,110
Andrew Bogut,GSW,11,134,13.8,3.9,6.4,12.8,.500,0.0,0.0,,1.1,1.1,1.000,4.3,15.3,1.1,2.8,2.8,7.8,107,104
Jonah Bolden,PHI,44,639,15.3,3.0,5.9,12.0,.494,2.5,7.1,.354,1.0,2.0,.481,3.5,8.7,1.3,2.9,2.7,7.3,111,107
Isaac Bonga,LAL,22,120,7.4,5.8,1.9,12.8,.152,0.0,3.1,.000,3.5,5.8,.600,3.5,6.2,3.5,1.6,2.3,3.5,73,105
Devin Booker,PHO,64,2242,36.2,9.2,12.5,26.7,.467,2.9,8.8,.326,8.4,9.7,.866,0.8,4.8,1.2,0.3,5.6,4.3,109,118
Chris Boucher,TOR,28,163,27.3,0.6,10.0,22.3,.447,3.5,10.9,.324,3.8,4.4,.867,4.7,11.8,1.8,7.1,2.1,9.1,112,97
Avery Bradley,TOT,63,1905,15.7,3.8,6.2,15.2,.408,2.2,6.1,.351,1.1,1.3,.860,1.1,3.3,1.0,0.4,2.2,4.2,98,115
Avery Bradley,LAC,49,1463,12.9,3.1,5.2,13.5,.383,1.9,5.5,.337,0.6,0.8,.800,1.1,3.1,0.9,0.5,2.0,4.3,93,116
Avery Bradley,MEM,14,442,25.3,6.3,9.8,21.1,.463,3.1,8.2,.384,2.6,2.8,.920,0.9,4.0,1.6,0.0,3.1,3.8,107,112
Tony Bradley,UTA,3,36,22.6,1.3,10.6,21.3,.500,0.0,0.0,,1.3,2.7,.500,12.0,8.0,2.7,2.7,4.0,8.0,105,101
Corey Brewer,TOT,31,492,14.3,3.7,5.0,11.7,.431,1.3,4.2,.318,2.9,4.1,.721,2.5,4.7,3.0,0.7,1.8,6.0,112,109
Corey Brewer,PHI,7,140,17.9,3.4,6.7,16.5,.408,1.3,4.7,.286,3.0,4.4,.692,1.3,4.4,4.0,0.7,2.7,5.4,96,106
Corey Brewer,SAC,24,352,13.0,3.8,4.4,9.8,.446,1.3,4.0,.333,2.9,4.0,.733,2.9,4.9,2.6,0.7,1.5,6.2,121,110
Mikal Bridges,PHO,82,2417,13.5,3.4,4.8,11.1,.430,2.1,6.2,.335,1.9,2.3,.805,1.1,4.1,2.5,0.8,1.4,4.0,112,115
Miles Bridges,CHO,80,1696,17.1,2.7,6.8,14.7,.464,1.9,5.7,.325,1.7,2.2,.753,1.9,7.3,1.6,1.4,1.4,3.2,111,112
Isaiah Briscoe,ORL,39,559,11.9,7.6,4.8,12.1,.399,1.0,3.0,.324,1.3,2.3,.577,0.4,6.0,1.0,0.2,2.7,5.8,96,111
Ryan Broekhoff,DAL,42,453,17.9,2.4,6.1,13.5,.452,4.1,10.0,.409,1.6,2.0,.789,0.9,5.9,0.6,0.4,1.7,3.7,116,114
Malcolm Brogdon,MIL,64,1832,25.4,5.2,9.6,19.0,.505,2.6,6.2,.426,3.6,3.9,.928,1.6,5.7,1.2,0.3,2.3,2.6,121,108
Dillon Brooks,MEM,18,330,20.3,2.4,7.4,18.4,.402,2.3,6.0,.375,3.3,4.5,.733,1.4,3.3,1.5,0.6,2.9,7.5,94,112
MarShon Brooks,MEM,29,387,24.4,3.2,9.8,21.7,.450,1.9,6.9,.278,3.0,4.2,.697,1.5,4.2,1.2,0.5,2.7,4.2,98,113
Bruce Brown,DET,74,1449,10.9,3.1,4.3,10.7,.398,0.8,3.2,.258,1.5,2.0,.750,1.6,4.7,1.4,1.2,1.6,6.1,100,110
Jaylen Brown,BOS,74,1913,24.3,2.5,9.3,19.9,.465,2.4,6.9,.344,3.3,5.1,.658,1.6,6.2,1.7,0.8,2.5,4.7,104,109
Lorenzo Brown,TOR,26,212,12.4,6.3,5.2,16.1,.324,1.4,6.3,.214,0.7,0.7,1.000,1.1,5.9,2.7,1.1,3.6,5.0,82,105
Sterling Brown,MIL,58,1034,16.7,3.8,6.5,14.0,.465,2.4,6.6,.361,1.3,1.9,.690,1.3,7.0,1.1,0.4,2.1,4.0,109,108
Troy Brown,WAS,52,730,16.1,5.2,6.3,15.2,.415,1.4,4.5,.319,2.1,3.0,.681,2.3,7.1,1.4,0.3,1.9,3.6,105,115
Jalen Brunson,DAL,73,1591,20.7,7.0,8.0,17.2,.467,1.9,5.5,.348,2.7,3.7,.725,0.8,4.4,1.1,0.1,2.7,3.9,110,114
Thomas Bryant,WAS,72,1496,24.0,2.9,9.8,15.9,.616,1.0,3.1,.333,3.4,4.3,.781,3.6,10.8,0.8,2.1,1.9,4.0,130,112
