Player,Team,GP,GS,MPG,PPG,APG,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,DRB,STL,BLK,TOV,PF
Álex Abrines,OKC,75,8,15.1,4.7,0.4,1.5,3.9,.395,1.1,2.9,.380,.540,0.5,0.6,.848,0.3,1.2,0.5,0.1,0.3,1.7
Quincy Acy,BRK,70,8,19.4,5.9,0.8,1.9,5.2,.356,1.5,4.2,.349,.496,0.7,0.9,.817,0.6,3.1,0.5,0.4,0.9,2.1
Steven Adams,OKC,76,76,32.7,13.9,1.2,5.9,9.4,.629,0.0,0.0,.000,.629,2.1,3.8,.559,5.1,4.0,1.2,1.0,1.7,2.8
Bam Adebayo,MIA,69,19,19.8,6.9,1.5,2.5,4.9,.512,0.0,0.1,.000,.512,1.9,2.6,.721,1.7,3.8,0.5,0.6,1.0,2.0
Arron Afflalo,ORL,53,3,12.9,3.4,0.6,1.2,3.1,.401,0.5,1.3,.386,.485,0.4,0.5,.846,0.1,1.2,0.1,0.2,0.4,1.1
Cole Aldrich,MIN,21,0,2.3,0.6,0.1,0.2,0.7,.333,0.0,0.0,,.333,0.1,0.3,.333,0.1,0.6,0.1,0.0,0.0,0.5
LaMarcus Aldridge,SAS,75,75,33.5,23.1,2.0,9.2,18.0,.510,0.4,1.2,.293,.520,4.5,5.3,.837,3.3,5.2,0.6,1.2,1.5,2.1
Jarrett Allen,BRK,72,31,20.0,8.2,0.7,3.3,5.5,.589,0.1,0.2,.333,.596,1.6,2.0,.776,2.0,3.4,0.4,1.2,1.1,2.0
Kadeem Allen,BOS,18,1,5.9,1.1,0.7,0.3,1.2,.273,0.0,0.6,.000,.273,0.4,0.5,.778,0.2,0.4,0.2,0.1,0.5,0.8
Tony Allen,NOP,22,0,12.4,4.7,0.4,2.0,4.1,.484,0.2,0.5,.333,.505,0.5,1.0,.524,0.9,1.2,0.5,0.1,0.9,2.2
Al-Farouq Aminu,POR,69,67,30.0,9.3,1.2,3.3,8.4,.395,1.8,4.9,.369,.503,0.9,1.2,.738,1.4,6.2,1.1,0.6,1.1,2.0
Justin Anderson,PHI,38,0,13.7,6.2,0.7,2.3,5.3,.431,0.9,2.7,.330,.515,0.7,1.0,.737,0.7,1.8,0.4,0.2,0.4,1.4
Kyle Anderson,SAS,74,67,26.7,7.9,2.7,3.1,5.9,.527,0.3,0.8,.333,.549,1.4,2.0,.712,1.1,4.2,1.6,0.8,1.3,1.5
Ryan Anderson,HOU,66,50,26.1,9.3,0.9,3.1,7.3,.431,2.0,5.1,.386,.568,1.1,1.4,.774,1.4,3.6,0.4,0.3,0.6,1.9
Ike Anigbogu,IND,11,0,2.7,1.2,0.0,0.4,0.8,.444,0.0,0.0,,.444,0.5,0.5,.833,0.5,0.4,0.1,0.3,0.2,0.1
Giannis Antetokounmpo,MIL,75,75,36.7,26.9,4.8,9.9,18.7,.529,0.6,1.9,.307,.545,6.5,8.5,.760,2.1,8.0,1.5,1.4,3.0,3.1
Carmelo Anthony,OKC,78,78,32.1,16.2,1.3,6.1,15.0,.404,2.2,6.1,.357,.476,1.9,2.5,.767,0.9,4.9,0.6,0.6,1.3,2.5
OG Anunoby,TOR,74,62,20.0,5.9,0.7,2.2,4.7,.471,1.0,2.7,.371,.577,0.5,0.8,.629,0.6,1.9,0.7,0.2,0.6,1.8
Ryan Arcidiacono,CHI,24,0,12.7,2.0,1.5,0.7,1.7,.415,0.4,1.3,.290,.524,0.2,0.3,.833,0.0,1.0,0.5,0.0,0.5,0.8
Trevor Ariza,HOU,67,67,33.9,11.7,1.6,4.0,9.7,.412,2.5,6.9,.368,.542,1.1,1.3,.854,0.5,3.9,1.5,0.2,0.8,2.0
Darrell Arthur,DEN,19,1,7.4,2.8,0.5,1.2,2.5,.468,0.4,1.2,.348,.553,0.1,0.2,.667,0.2,0.6,0.4,0.2,0.8,1.2
Jamel Artis,ORL,15,1,18.6,5.1,1.2,2.1,5.3,.392,0.5,1.9,.276,.443,0.5,0.8,.583,0.3,2.3,0.1,0.2,0.5,0.7
