Player,Team,GP,MP,PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,STL,BLK,TOV,PF,ORtg,DRtg
Quincy Acy,TOT,63,847,10.3,1.7,4.0,8.5,.468,0.2,0.9,.267,2.1,3.2,.660,4.3,8.7,1.4,1.6,1.8,7.3,109,107
Quincy Acy,TOR,7,61,16.3,3.4,5.1,12.0,.429,1.7,4.3,.400,4.3,6.9,.625,4.3,8.6,3.4,2.6,1.7,6.9,118,98
Quincy Acy,SAC,56,786,9.8,1.6,3.9,8.2,.472,0.1,0.6,.200,1.9,2.9,.667,4.3,8.7,1.2,1.5,1.8,7.4,109,107
Steven Adams,OKC,81,1197,11.1,1.8,3.9,7.8,.503,0.0,0.0,,3.3,5.7,.581,6.0,8.0,1.7,2.4,3.0,8.5,108,102
Jeff Adrien,TOT,53,961,19.7,2.1,7.8,14.9,.520,0.0,0.0,,4.1,6.5,.639,5.5,11.1,1.3,2.0,2.1,5.9,114,106
Jeff Adrien,CHA,25,256,11.6,1.4,4.5,8.1,.550,0.0,0.0,,2.6,5.1,.520,6.7,11.2,1.4,3.0,1.6,7.1,119,99
Jeff Adrien,MIL,28,705,22.6,2.3,9.0,17.4,.515,0.0,0.0,,4.7,7.0,.670,5.1,11.1,1.3,1.6,2.3,5.4,113,109
Arron Afflalo,ORL,73,2552,26.7,5.0,9.3,20.3,.459,2.6,6.0,.427,5.5,6.7,.815,0.6,4.6,0.7,0.1,2.9,2.7,110,112
Alexis Ajinça,NOP,56,951,18.0,2.2,7.4,13.6,.546,0.0,0.1,.000,3.1,3.7,.836,5.1,10.0,1.3,2.5,3.4,10.2,110,107
Cole Aldrich,NYK,46,330,14.8,2.3,5.3,9.8,.541,0.0,0.0,,4.2,4.8,.867,6.0,14.8,1.3,4.8,2.9,6.4,120,100
LaMarcus Aldridge,POR,69,2498,32.5,3.6,13.2,28.8,.458,0.1,0.3,.200,6.0,7.3,.822,3.4,12.1,1.3,1.4,2.5,3.0,108,104
Lavoy Allen,TOT,65,1072,13.8,3.2,6.1,13.6,.447,0.1,0.6,.154,1.5,2.3,.660,5.4,8.7,1.1,1.5,2.0,5.7,104,108
Lavoy Allen,PHI,51,960,13.3,3.3,5.9,13.4,.440,0.1,0.7,.154,1.4,2.0,.675,5.3,8.6,1.1,1.4,2.0,5.8,103,109
Lavoy Allen,IND,14,112,18.5,2.8,7.9,15.8,.500,0.0,0.0,,2.8,4.6,.600,6.0,9.7,0.9,2.8,1.9,5.1,113,97
Ray Allen*,MIA,73,1936,19.1,3.9,6.5,14.8,.442,3.2,8.4,.375,2.9,3.2,.905,0.6,4.9,1.5,0.2,2.3,3.1,111,109
Tony Allen,MEM,55,1278,20.7,3.9,8.5,17.3,.494,0.5,2.0,.234,3.2,5.1,.628,3.3,5.4,3.8,0.8,3.8,5.1,102,101
