Player,Team,GP,MP,PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,STL,BLK,TOV,PF,ORtg,DRtg
Alex Abrines,OKC,68,1055,18.9,1.9,6.2,15.9,0.393,4.4,11.5,0.381,2.0,2.3,0.898,0.8,3.2,1.7,0.4,1.5,5.3,113,110
Quincy Acy,TOT,38,558,19.0,1.5,6.0,14.6,0.412,3.2,7.7,0.411,3.9,5.1,0.750,1.7,8.1,1.2,1.3,1.8,5.7,109,110
Quincy Acy,DAL,6,48,14.1,0.0,5.4,18.4,0.294,1.1,7.6,0.143,2.2,3.3,0.667,2.2,6.5,0.0,0.0,2.2,9.8,71,113
Quincy Acy,BRK,32,510,19.4,1.7,6.0,14.2,0.425,3.3,7.7,0.434,4.0,5.3,0.754,1.7,8.3,1.3,1.4,1.8,5.4,113,110
Steven Adams,OKC,80,2389,18.6,1.8,7.7,13.5,0.571,0.0,0.0,0.000,3.2,5.3,0.611,5.8,6.8,1.8,1.6,3.0,4.0,114,107
Arron Afflalo,SAC,61,1580,16.5,2.5,5.9,13.5,0.440,2.0,4.8,0.411,2.7,3.0,0.892,0.3,3.7,0.7,0.2,1.3,3.3,109,116
Alexis Ajinca,NOP,39,584,17.4,1.0,7.5,14.9,0.500,0.0,0.3,0.000,2.4,3.4,0.725,3.9,11.0,1.7,1.8,2.6,6.5,101,104
Cole Aldrich,MIN,62,531,10.0,2.4,4.3,8.2,0.523,0.0,0.0,,1.4,2.1,0.682,4.9,10.2,2.4,2.2,1.6,8.1,118,107
LaMarcus Aldridge,SAS,72,2335,27.1,3.0,10.9,22.9,0.477,0.5,1.2,0.411,4.8,5.9,0.812,3.8,7.7,1.0,1.9,2.1,3.4,111,104
Lavoy Allen,IND,61,871,10.2,3.3,4.4,9.7,0.458,0.0,0.1,0.000,1.3,1.9,0.697,6.0,6.6,1.0,1.4,1.7,4.5,114,110
Tony Allen,MEM,71,1914,17.5,2.7,7.4,16.2,0.461,0.4,1.5,0.278,2.2,3.5,0.615,4.5,6.1,3.1,0.8,2.7,4.8,101,105
Al-Farouq Aminu,POR,61,1773,14.9,2.8,5.1,13.1,0.393,2.0,5.9,0.330,2.7,3.8,0.706,2.2,10.5,1.7,1.2,2.6,2.9,100,108
Chris Andersen,CLE,12,114,12.3,2.2,3.9,9.6,0.409,0.0,1.3,0.000,4.4,6.1,0.714,3.9,9.6,2.2,3.1,2.2,8.8,107,104
Alan Anderson,LAC,30,308,14.0,1.8,4.9,13.0,0.375,2.3,7.1,0.318,1.9,2.6,0.750,0.5,3.4,0.5,0.0,1.1,5.7,100,114
Justin Anderson,TOT,75,1228,21.9,2.7,7.7,18.1,0.424,2.4,8.0,0.299,4.2,5.3,0.791,2.8,7.3,1.7,0.9,2.7,4.5,104,108
Justin Anderson,DAL,51,710,24.1,2.3,8.1,20.3,0.401,2.7,8.9,0.303,5.1,6.5,0.795,2.9,8.1,2.1,1.2,2.9,4.7,101,107
Justin Anderson,PHI,24,518,19.1,3.2,7.1,15.2,0.463,2.0,6.8,0.292,3.0,3.9,0.780,2.8,6.2,1.2,0.7,2.4,4.2,109,111
Kyle Anderson,SAS,72,1020,12.3,4.5,4.6,10.4,0.445,0.7,2.0,0.375,2.2,2.8,0.789,1.6,8.7,2.5,1.3,1.9,3.1,109,101
Ryan Anderson,HOU,72,2116,22.2,1.5,7.3,17.5,0.418,4.6,11.5,0.403,2.9,3.4,0.860,2.5,4.9,0.7,0.3,1.2,3.2,119,113
Giannis Antetokounmpo,MIL,80,2845,32.7,7.7,11.7,22.5,0.521,0.9,3.2,0.272,8.4,10.9,0.770,2.5,10.0,2.3,2.7,4.2,4.4,116,104
Carmelo Anthony,NYK,74,2538,32.7,4.2,11.9,27.4,0.433,3.0,8.3,0.359,6.0,7.2,0.833,1.2,7.4,1.2,0.7,3.0,3.9,108,113
Joel Anthony,SAS,19,122,10.4,1.3,4.2,6.7,0.625,0.0,0.0,,2.1,3.3,0.625,3.3,9.6,0.8,2.5,1.7,4.6,121,102
Trevor Ariza,HOU,80,2773,16.2,3.0,5.6,13.8,0.409,3.3,9.6,0.344,1.6,2.2,0.738,0.9,7.0,2.5,0.3,1.3,2.3,113,108
Darrell Arthur,DEN,41,639,20.0,3.2,7.3,16.4,0.442,4.1,8.9,0.453,1.5,1.7,0.864,1.9,6.6,1.5,1.6,2.8,5.8,110,112
Omer Asik,NOP,31,482,8.6,1.5,3.1,6.6,0.477,0.0,0.0,,2.3,4.0,0.590,4.9,11.7,0.5,1.0,1.4,5.2,114,107
D.J. Augustin,ORL,78,1538,19.9,6.7,6.3,16.7,0.377,3.1,8.8,0.347,4.2,5.2,0.814,0.5,3.3,1.0,0.0,2.9,3.3,104,115
Luke Babbitt,MIA,68,1065,15.3,1.7,5.3,13.3,0.402,4.1,9.9,0.414,0.5,0.7,0.733,0.6,6.1,0.9,0.5,1.2,5.6,110,109
Ron Baker,NYK,52,857,12.5,6.2,4.8,12.7,0.378,1.3,5.0,0.267,1.6,2.5,0.651,0.7,5.0,2.0,0.5,3.3,4.3,92,113
Wade Baldwin,MEM,33,405,13.6,7.8,4.6,14.8,0.313,0.4,2.8,0.136,4.0,4.8,0.838,1.4,4.5,2.3,0.9,5.0,5.1,83,107
Leandro Barbosa,PHO,67,963,20.8,4.0,8.6,19.5,0.439,1.7,4.9,0.357,2.0,2.2,0.889,0.7,4.4,1.5,0.4,2.4,4.1,103,114
J.J. Barea,DAL,35,771,25.7,13.0,9.6,23.2,0.414,3.6,10.0,0.358,3.0,3.4,0.863,0.6,5.1,0.9,0.1,4.3,2.0,106,112
Harrison Barnes,DAL,79,2803,28.2,2.2,11.1,23.8,0.468,1.4,4.1,0.351,4.5,5.2,0.861,1.7,5.6,1.2,0.3,1.9,2.4,106,111
Matt Barnes,TOT,74,1777,14.8,5.5,5.2,13.3,0.391,2.4,7.4,0.331,2.0,2.5,0.787,2.0,8.8,1.4,0.7,3.0,5.2,102,109
Matt Barnes,SAC,54,1367,15.3,5.6,5.4,14.2,0.384,2.6,7.8,0.327,1.9,2.4,0.758,2.0,8.8,1.3,0.6,3.1,5.1,100,111
Matt Barnes,GSW,20,410,13.4,5.3,4.5,10.6,0.422,2.1,6.1,0.346,2.3,2.7,0.870,1.8,8.9,1.4,1.1,2.8,5.5,110,104
Will Barton,DEN,60,1705,23.5,5.9,8.4,19.1,0.443,2.5,6.7,0.370,4.1,5.4,0.753,1.7,5.8,1.4,0.8,2.8,3.2,112,114
Brandon Bass,LAC,52,577,25.3,1.8,9.3,16.1,0.575,0.1,0.3,0.333,6.7,7.6,0.875,3.7,7.4,1.2,1.0,2.5,3.9,125,109
Nicolas Batum,CHO,77,2617,22.3,8.7,7.5,18.7,0.403,2.6,7.8,0.333,4.7,5.4,0.856,0.9,8.3,1.6,0.6,3.7,2.1,105,108
Jerryd Bayless,PHI,3,71,22.6,8.9,7.5,22.0,0.344,1.4,3.4,0.400,6.2,6.9,0.900,2.1,6.2,0.0,0.0,6.2,2.7,90,114
Aron Baynes,DET,75,1163,15.9,1.4,6.2,12.1,0.513,0.0,0.0,,3.4,4.1,0.840,4.8,9.6,0.7,1.7,2.2,7.2,114,106
Kent Bazemore,ATL,73,1963,20.1,4.4,7.4,18.1,0.409,2.3,6.7,0.346,3.0,4.2,0.708,1.1,4.7,2.3,1.3,3.1,4.1,97,106
Bradley Beal,WAS,77,2684,32.7,4.9,11.7,24.3,0.482,4.1,10.1,0.404,5.2,6.3,0.825,1.0,3.4,1.5,0.4,2.9,3.1,117,112
Malik Beasley,DEN,22,165,24.6,3.3,9.8,21.6,0.452,2.7,8.3,0.321,2.4,3.0,0.800,1.5,3.6,2.1,0.0,2.4,3.0,107,114
Michael Beasley,MIL,56,935,28.7,2.9,11.7,22.1,0.532,1.0,2.3,0.419,4.2,5.7,0.743,2.2,8.3,1.5,1.5,3.6,5.0,106,109
Marco Belinelli,CHO,74,1778,22.0,4.1,7.4,17.4,0.429,2.9,8.0,0.360,4.2,4.7,0.893,0.4,4.6,1.2,0.3,2.0,2.5,110,112
DeAndre' Bembry,ATL,38,371,13.4,3.7,6.2,13.0,0.480,0.1,2.4,0.056,0.8,2.1,0.375,1.9,6.0,1.1,0.7,2.1,2.8,97,108
Dragan Bender,PHO,43,574,12.2,1.9,4.8,13.4,0.354,2.3,8.4,0.277,0.3,0.9,0.364,1.9,6.7,0.8,1.8,2.7,6.2,86,113
Anthony Bennett,BRK,23,264,20.7,2.2,6.8,16.5,0.413,2.3,8.6,0.271,4.7,6.5,0.722,4.5,9.5,0.9,0.5,2.2,3.2,110,111
Ben Bentil,DAL,3,10,0.0,0.0,0.0,15.6,0.000,0.0,5.2,0.000,0.0,0.0,,0.0,10.4,0.0,0.0,5.2,5.2,0,111
Dāvis Bertāns,SAS,67,808,19.1,2.9,6.5,14.8,0.440,4.4,10.9,0.399,1.8,2.1,0.824,1.4,4.8,1.3,1.8,2.0,4.7,115,105
Patrick Beverley,HOU,67,2058,14.9,6.6,5.3,12.7,0.420,2.6,6.7,0.382,1.7,2.2,0.768,2.2,6.9,2.3,0.6,2.3,5.2,116,108
Bismack Biyombo,ORL,81,1793,13.4,2.0,4.9,9.4,0.528,0.0,0.0,,3.5,6.5,0.534,4.3,11.3,0.7,2.5,2.6,5.6,106,108
Nemanja Bjelica,MIN,65,1190,17.2,3.4,6.4,15.2,0.424,2.4,7.5,0.316,1.9,2.6,0.738,2.4,8.0,1.7,0.9,2.5,6.6,105,111
Tarik Black,LAL,67,1091,17.1,1.7,6.7,13.1,0.510,0.0,0.1,0.500,3.7,4.9,0.752,6.4,8.9,1.3,2.0,2.6,7.7,114,111
Eric Bledsoe,PHO,66,2176,30.6,9.2,9.9,22.7,0.434,2.3,6.8,0.335,8.5,10.1,0.847,1.1,5.9,2.0,0.7,4.9,3.6,111,112
Bojan Bogdanović,TOT,81,2083,25.6,2.6,8.7,19.4,0.445,3.3,9.0,0.367,5.0,5.6,0.893,0.9,5.5,0.8,0.2,3.0,3.4,108,114
Bojan Bogdanović,BRK,55,1482,25.0,2.9,8.6,19.5,0.440,3.2,8.9,0.357,4.7,5.3,0.874,0.7,5.6,0.8,0.1,3.0,3.2,106,114
Bojan Bogdanović,WAS,26,601,27.1,1.7,8.8,19.2,0.457,3.7,9.4,0.391,5.8,6.2,0.934,1.1,5.4,0.8,0.3,3.1,3.9,113,113
Andrew Bogut,TOT,27,583,7.1,4.4,3.4,7.2,0.469,0.0,0.1,0.000,0.3,1.0,0.273,5.0,14.5,1.2,2.2,3.8,7.7,93,104
Andrew Bogut,DAL,26,582,7.1,4.4,3.4,7.2,0.469,0.0,0.1,0.000,0.3,1.0,0.273,5.0,14.5,1.2,2.2,3.8,7.5,93,104
Andrew Bogut,CLE,1,1,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,99.8,,114
Joel Bolomboy,UTA,12,53,21.8,2.0,8.9,15.8,0.563,1.0,4.0,0.250,3.0,5.9,0.500,4.0,12.9,1.0,2.0,2.0,1.0,117,102
Devin Booker,PHO,78,2730,30.3,4.7,10.6,25.1,0.423,2.6,7.1,0.363,6.4,7.7,0.832,0.8,3.6,1.3,0.4,4.2,4.2,103,116
Trevor Booker,BRK,71,1754,19.2,3.7,8.2,16.0,0.516,0.7,2.1,0.321,2.0,3.0,0.673,3.9,11.6,2.0,0.8,3.4,4.1,105,107
Avery Bradley,BOS,55,1835,24.2,3.3,9.7,20.9,0.463,2.9,7.5,0.390,1.8,2.5,0.731,1.8,7.3,1.8,0.3,2.4,3.8,105,108
Corey Brewer,TOT,82,1281,14.0,3.6,5.5,13.1,0.422,1.0,4.4,0.229,1.9,2.6,0.735,1.2,5.0,2.3,0.8,2.1,5.0,101,110
Corey Brewer,HOU,58,923,12.6,3.2,4.9,11.8,0.414,1.1,4.9,0.234,1.7,2.3,0.727,1.1,4.8,1.9,0.6,1.9,5.4,100,110
Corey Brewer,LAL,24,358,17.6,4.9,7.2,16.5,0.438,0.7,3.3,0.208,2.4,3.3,0.750,1.5,5.6,3.3,1.1,2.6,3.9,101,110
Malcolm Brogdon,MIL,75,1982,19.7,8.1,7.4,16.3,0.457,2.0,4.9,0.404,2.8,3.2,0.865,1.2,4.3,2.2,0.3,2.9,3.6,111,111
