Player,Team,GP,GS,MPG,PPG,APG,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,DRB,STL,BLK,TOV,PF
Alex Abrines,OKC,68,6,15.5,6.0,0.6,2.0,5.0,.393,1.4,3.6,.381,.531,0.6,0.7,.898,0.3,1.0,0.5,0.1,0.5,1.7
Quincy Acy,TOT,38,1,14.7,5.8,0.5,1.8,4.5,.412,1.0,2.4,.411,.521,1.2,1.6,.750,0.5,2.5,0.4,0.4,0.6,1.8
Quincy Acy,DAL,6,0,8.0,2.2,0.0,0.8,2.8,.294,0.2,1.2,.143,.324,0.3,0.5,.667,0.3,1.0,0.0,0.0,0.3,1.5
Quincy Acy,BRK,32,1,15.9,6.5,0.6,2.0,4.8,.425,1.1,2.6,.434,.542,1.3,1.8,.754,0.6,2.8,0.4,0.5,0.6,1.8
Steven Adams,OKC,80,80,29.9,11.3,1.1,4.7,8.2,.571,0.0,0.0,.000,.571,2.0,3.2,.611,3.5,4.2,1.1,1.0,1.8,2.4
Arron Afflalo,SAC,61,45,25.9,8.4,1.3,3.0,6.9,.440,1.0,2.5,.411,.514,1.4,1.5,.892,0.1,1.9,0.3,0.1,0.7,1.7
Alexis Ajinca,NOP,39,15,15.0,5.3,0.3,2.3,4.6,.500,0.0,0.1,.000,.500,0.7,1.0,.725,1.2,3.4,0.5,0.6,0.8,2.0
Cole Aldrich,MIN,62,0,8.6,1.7,0.4,0.7,1.4,.523,0.0,0.0,,.523,0.2,0.4,.682,0.8,1.7,0.4,0.4,0.3,1.4
LaMarcus Aldridge,SAS,72,72,32.4,17.3,1.9,6.9,14.6,.477,0.3,0.8,.411,.488,3.1,3.8,.812,2.4,4.9,0.6,1.2,1.4,2.2
Lavoy Allen,IND,61,5,14.3,2.9,0.9,1.3,2.8,.458,0.0,0.0,.000,.458,0.4,0.5,.697,1.7,1.9,0.3,0.4,0.5,1.3
Tony Allen,MEM,71,66,27.0,9.1,1.4,3.9,8.4,.461,0.2,0.8,.278,.473,1.1,1.8,.615,2.3,3.2,1.6,0.4,1.4,2.5
Al-Farouq Aminu,POR,61,25,29.1,8.7,1.6,3.0,7.6,.393,1.1,3.5,.330,.468,1.6,2.2,.706,1.3,6.1,1.0,0.7,1.5,1.7
Chris Andersen,CLE,12,0,9.5,2.3,0.4,0.8,1.8,.409,0.0,0.3,.000,.409,0.8,1.2,.714,0.8,1.8,0.4,0.6,0.4,1.7
