Player,Team,GP,MP,PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,STL,BLK,TOV,PF,ORtg,DRtg
Álex Abrines,OKC,75,1134,15.4,1.2,5.0,12.7,.395,3.7,9.7,.380,1.7,2.0,.848,1.1,3.9,1.7,0.4,1.1,5.4,116,110
Quincy Acy,BRK,70,1359,14.7,2.0,4.6,13.0,.356,3.6,10.4,.349,1.8,2.1,.817,1.4,7.8,1.2,1.0,2.1,5.3,99,110
Steven Adams,OKC,76,2487,21.1,1.8,8.9,14.2,.629,0.0,0.0,.000,3.2,5.7,.559,7.7,6.0,1.8,1.6,2.6,4.3,125,107
Bam Adebayo,MIA,69,1368,17.5,3.7,6.4,12.5,.512,0.0,0.3,.000,4.7,6.6,.721,4.3,9.7,1.2,1.5,2.4,5.1,116,105
Arron Afflalo,ORL,53,682,12.8,2.2,4.7,11.6,.401,1.9,5.0,.386,1.6,1.9,.846,0.3,4.5,0.3,0.6,1.5,4.0,98,115
Cole Aldrich,MIN,21,49,12.2,3.1,5.1,15.3,.333,0.0,0.0,,2.0,6.1,.333,3.1,12.2,2.0,1.0,1.0,11.2,85,107
LaMarcus Aldridge,SAS,75,2509,34.9,3.1,13.8,27.1,.510,0.5,1.9,.293,6.7,8.0,.837,5.0,7.8,0.9,1.8,2.2,3.2,118,105
Jarrett Allen,BRK,72,1441,19.8,1.7,7.9,13.4,.589,0.2,0.5,.333,3.8,5.0,.776,4.9,8.2,0.9,3.0,2.8,5.0,119,108
Kadeem Allen,BOS,18,107,8.9,5.6,2.8,10.3,.273,0.0,5.1,.000,3.3,4.2,.778,1.9,3.3,1.4,0.9,4.2,7.0,78,106
Tony Allen,NOP,22,273,18.0,1.6,7.7,15.9,.484,0.7,2.1,.333,1.9,3.7,.524,3.5,4.7,1.9,0.5,3.3,8.6,95,110
Al-Farouq Aminu,POR,69,2072,15.5,2.0,5.5,14.0,.395,3.0,8.1,.369,1.4,1.9,.738,2.3,10.3,1.9,1.0,1.9,3.3,105,104
Justin Anderson,PHI,38,519,21.9,2.3,8.1,18.7,.431,3.2,9.5,.330,2.6,3.5,.737,2.3,6.3,1.4,0.6,1.5,5.0,110,107
Kyle Anderson,SAS,74,1978,14.9,5.2,5.9,11.2,.527,0.5,1.5,.333,2.7,3.7,.712,2.1,8.0,2.9,1.5,2.4,2.9,114,101
Ryan Anderson,HOU,66,1725,17.6,1.7,5.9,13.7,.431,3.7,9.7,.386,2.1,2.7,.774,2.7,6.8,0.7,0.6,1.2,3.6,121,109
Ike Anigbogu,IND,11,30,21.7,0.0,6.7,15.0,.444,0.0,0.0,,8.3,10.0,.833,8.3,6.7,1.7,5.0,3.3,1.7,114,104
Giannis Antetokounmpo,MIL,75,2756,36.4,6.5,13.4,25.4,.529,0.8,2.5,.307,8.8,11.6,.760,2.8,10.8,2.0,1.9,4.0,4.2,116,106
Carmelo Anthony,OKC,78,2501,25.0,2.0,9.4,23.2,.404,3.4,9.4,.357,2.9,3.8,.767,1.3,7.7,0.9,1.0,2.0,3.9,104,109
OG Anunoby,TOR,74,1481,14.6,1.8,5.4,11.5,.471,2.4,6.6,.371,1.3,2.1,.629,1.5,4.7,1.7,0.5,1.5,4.3,113,108
Ryan Arcidiacono,CHI,24,304,7.7,5.6,2.7,6.6,.415,1.4,5.0,.290,0.8,1.0,.833,0.2,3.9,2.1,0.0,2.1,2.9,105,112
Trevor Ariza,HOU,67,2269,17.0,2.3,5.8,14.1,.412,3.7,10.0,.368,1.6,1.9,.854,0.7,5.7,2.1,0.3,1.1,2.9,114,107
Darrell Arthur,DEN,19,141,19.0,3.2,7.7,16.5,.468,2.8,8.1,.348,0.7,1.1,.667,1.1,4.2,2.8,1.1,5.3,7.7,90,109
Jamel Artis,ORL,15,279,13.5,3.2,5.4,13.9,.392,1.4,5.1,.276,1.2,2.1,.583,0.7,6.0,0.4,0.5,1.4,1.9,94,114
Ömer Aşık,TOT,18,182,5.8,0.8,2.4,5.8,.409,0.0,0.0,,1.1,3.4,.308,2.4,10.0,0.5,1.1,2.4,5.3,76,110
Ömer Aşık,NOP,14,121,7.1,0.8,2.8,6.3,.438,0.0,0.0,,1.6,4.7,.333,2.8,11.8,0.4,0.8,2.0,5.5,85,109
Ömer Aşık,CHI,4,61,3.2,0.8,1.6,4.8,.333,0.0,0.0,,0.0,0.8,.000,1.6,6.4,0.8,1.6,3.2,4.8,52,112
D.J. Augustin,ORL,75,1760,21.3,8.0,6.8,15.0,.452,3.2,7.6,.419,4.6,5.3,.868,0.8,3.6,1.5,0.0,3.4,2.6,116,114
Luke Babbitt,TOT,50,715,17.8,2.1,6.3,14.8,.423,4.1,10.7,.385,1.2,1.5,.773,0.5,6.1,0.5,0.5,1.3,3.7,109,113
Luke Babbitt,ATL,37,570,19.4,2.2,6.9,14.4,.476,4.2,9.5,.441,1.5,1.9,.773,0.4,6.5,0.6,0.4,1.3,4.0,119,114
Luke Babbitt,MIA,13,145,11.4,1.7,3.8,16.3,.234,3.8,15.6,.244,0.0,0.0,,0.7,4.5,0.3,0.7,1.4,2.4,74,111
Dwayne Bacon,CHO,53,713,12.0,2.6,4.9,13.1,.375,0.8,2.9,.256,1.4,1.7,.800,0.3,8.2,1.1,0.1,1.6,3.1,88,111
Ron Baker,NYK,29,385,9.1,6.1,2.6,7.6,.339,1.4,4.2,.333,2.6,3.3,.769,0.6,3.2,3.3,0.8,2.3,4.2,104,109
Wade Baldwin,POR,7,80,23.6,3.1,8.7,13.1,.667,2.5,3.1,.800,3.7,6.2,.600,0.6,4.4,1.2,0.6,2.5,7.5,131,109
Lonzo Ball,LAL,52,1780,14.2,10.1,5.5,15.2,.360,2.4,7.9,.305,0.9,1.9,.451,1.9,7.8,2.4,1.2,3.7,3.1,97,106
J.J. Barea,DAL,69,1603,25.1,13.6,9.5,21.6,.439,3.6,9.8,.367,2.5,3.2,.784,0.5,5.8,1.1,0.1,4.5,2.6,109,112
Harrison Barnes,DAL,77,2634,27.7,2.9,10.2,23.0,.445,2.3,6.3,.357,4.9,6.0,.827,1.5,7.5,0.9,0.3,2.2,1.8,105,111
Will Barton,DEN,81,2683,23.4,6.1,8.6,19.0,.452,2.9,7.8,.370,3.4,4.2,.805,1.3,6.3,1.5,1.0,2.8,3.1,113,112
Nicolas Batum,CHO,64,1981,18.2,8.6,6.6,16.0,.415,2.3,6.7,.336,2.7,3.2,.831,1.4,6.1,1.6,0.6,3.2,1.8,107,110
Jerryd Bayless,PHI,39,925,16.0,2.8,5.7,13.6,.416,2.8,7.6,.370,1.8,2.3,.795,0.8,3.4,1.2,0.3,2.4,4.7,102,109
Aron Baynes,BOS,81,1485,16.2,3.1,7.1,15.0,.471,0.1,0.7,.143,2.0,2.6,.756,4.4,10.2,0.7,1.7,2.7,6.7,103,103
Kent Bazemore,ATL,65,1789,22.8,6.2,7.8,18.5,.420,2.9,7.5,.394,4.4,5.5,.796,0.7,6.1,2.7,1.2,4.3,4.0,101,108
Bradley Beal,WAS,82,2977,31.0,6.2,11.4,24.8,.460,3.3,8.8,.375,4.9,6.2,.791,1.0,5.0,1.6,0.6,3.6,2.7,109,110
Malik Beasley,DEN,62,583,16.7,2.6,6.2,15.1,.410,2.4,7.0,.341,1.9,2.8,.667,1.2,4.8,1.3,0.6,2.0,3.1,101,113
Michael Beasley,NYK,74,1653,29.3,3.7,12.3,24.2,.507,1.0,2.6,.395,3.7,4.8,.780,2.9,9.5,1.1,1.3,4.3,4.3,103,110
Marco Belinelli,TOT,80,1947,24.2,3.7,8.4,19.1,.441,3.7,9.9,.377,3.7,4.1,.908,0.5,3.3,1.6,0.3,2.3,2.3,110,111
Marco Belinelli,ATL,52,1210,23.9,4.2,8.0,19.6,.410,3.7,10.0,.372,4.1,4.4,.927,0.6,3.5,1.9,0.1,2.2,1.7,109,113
Marco Belinelli,PHI,28,737,24.8,2.9,9.0,18.2,.495,3.7,9.7,.385,3.1,3.5,.870,0.4,2.9,1.3,0.6,2.6,3.3,114,109
Jordan Bell,GSW,57,809,15.6,6.1,6.9,11.0,.627,0.0,0.2,.000,1.8,2.6,.682,3.6,8.8,2.1,3.3,3.0,5.5,121,103
DeAndre' Bembry,ATL,26,455,14.6,5.3,5.7,13.7,.414,1.2,3.2,.367,2.0,3.5,.576,0.9,6.9,2.3,1.3,5.0,4.1,83,109
Dragan Bender,PHO,82,2069,12.3,3.0,4.3,11.2,.386,2.7,7.5,.366,0.9,1.2,.765,0.9,7.4,0.5,1.2,2.6,3.8,95,114
Dāvis Bertāns,SAS,77,1086,21.2,3.4,7.5,17.0,.440,4.4,11.7,.373,1.9,2.3,.816,0.8,6.3,1.2,1.3,1.7,4.3,115,106
