Player,Team,GP,GS,MPG,PPG,APG,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,DRB,STL,BLK,TOV,PF
Lance Stephenson,CHO,61,25,25.8,8.2,3.9,3.4,9.0,.376,0.3,1.7,.171,.393,1.1,1.8,.627,0.6,3.9,0.6,0.1,2.1,2.2
Greg Stiemsma,TOR,17,0,3.9,0.8,0.2,0.4,0.5,.750,0.0,0.0,,.750,0.1,0.2,.500,0.5,0.4,0.1,0.0,0.4,0.9
David Stockton,SAC,3,0,11.0,2.7,3.0,0.7,2.0,.333,0.3,0.7,.500,.417,1.0,2.0,.500,0.0,0.7,0.7,0.0,1.3,0.3
Jarnell Stokes,MEM,19,2,6.6,3.0,0.2,1.1,1.9,.568,0.0,0.0,,.568,0.8,1.5,.536,0.8,0.9,0.3,0.3,0.4,1.3
Amar'e Stoudemire,TOT,59,15,21.1,11.5,0.8,4.6,8.3,.557,0.0,0.1,.000,.557,2.3,3.2,.720,1.9,3.7,0.5,0.6,1.3,2.7
Amar'e Stoudemire,NYK,36,14,24.0,12.0,1.0,4.7,8.6,.543,0.0,0.1,.000,.543,2.6,3.5,.740,2.3,4.5,0.6,0.9,1.8,3.1
Amar'e Stoudemire,DAL,23,1,16.5,10.8,0.3,4.5,7.8,.581,0.0,0.0,.000,.581,1.7,2.6,.678,1.2,2.5,0.4,0.2,0.7,2.2
Rodney Stuckey,IND,71,36,26.4,12.6,3.1,4.7,10.6,.440,0.8,2.0,.390,.477,2.5,3.0,.819,0.5,3.0,0.8,0.1,1.7,1.8
Jared Sullinger,BOS,58,49,27.0,13.3,2.3,5.4,12.2,.439,0.9,3.2,.283,.476,1.7,2.2,.744,2.5,5.1,0.8,0.7,1.3,2.6
Jeffery Taylor,CHO,29,13,14.8,4.4,0.8,1.6,3.9,.395,0.4,1.2,.306,.443,0.9,1.4,.634,0.5,1.3,0.4,0.0,0.7,1.2
Jeff Teague,ATL,73,72,30.5,15.9,7.0,5.6,12.2,.460,1.0,2.8,.343,.500,3.8,4.4,.862,0.4,2.1,1.7,0.4,2.8,1.9
Mirza Teletović,BRK,40,4,22.3,8.5,1.2,3.1,8.0,.382,1.6,4.8,.321,.480,0.8,1.2,.717,0.7,4.2,0.4,0.4,1.3,1.9
Sebastian Telfair,OKC,16,1,20.4,8.4,2.8,2.9,7.8,.368,1.1,3.8,.300,.440,1.5,2.1,.706,0.1,1.8,0.6,0.0,1.1,1.8
Garrett Temple,WAS,52,18,14.1,3.9,1.1,1.3,3.3,.400,0.6,1.7,.375,.497,0.7,0.9,.729,0.5,1.3,0.8,0.2,0.7,1.5
Jason Terry,HOU,77,18,21.3,7.0,1.9,2.4,5.8,.422,1.6,4.2,.390,.563,0.5,0.6,.813,0.2,1.4,0.9,0.2,1.0,1.5
Isaiah Thomas,TOT,67,1,25.8,16.4,4.2,5.0,11.9,.420,1.9,5.2,.373,.501,4.5,5.2,.868,0.5,1.8,0.9,0.1,2.1,2.2
Isaiah Thomas,PHO,46,1,25.7,15.2,3.7,4.7,11.1,.426,1.8,4.5,.391,.505,4.0,4.6,.872,0.6,1.8,1.0,0.1,1.9,2.3
Isaiah Thomas,BOS,21,0,26.0,19.0,5.4,5.6,13.6,.411,2.3,6.6,.345,.495,5.6,6.5,.861,0.3,1.8,0.6,0.0,2.6,2.1
Lance Thomas,TOT,62,37,24.0,7.1,1.1,2.9,7.1,.412,0.1,0.4,.318,.420,1.2,1.6,.727,1.0,2.1,0.6,0.1,1.2,1.6
Lance Thomas,OKC,22,13,20.5,5.1,0.9,2.0,5.7,.357,0.0,0.0,.000,.357,1.0,1.5,.697,1.3,2.1,0.5,0.0,0.8,1.7
Lance Thomas,NYK,40,24,26.0,8.3,1.2,3.4,7.9,.434,0.2,0.5,.333,.445,1.2,1.7,.742,0.9,2.1,0.7,0.2,1.4,1.6
Malcolm Thomas,PHI,17,0,11.4,2.6,0.4,1.1,2.4,.450,0.0,0.4,.000,.450,0.5,0.8,.692,0.9,2.4,0.2,0.1,0.8,1.0
Tyrus Thomas,MEM,2,0,3.5,2.0,0.5,0.5,0.5,1.000,0.0,0.0,,1.000,1.0,1.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0
Hollis Thompson,PHI,71,23,25.0,8.8,1.2,3.2,7.6,.413,1.6,4.0,.401,.518,0.9,1.3,.708,0.7,2.0,0.8,0.4,0.9,2.0
Jason Thompson,SAC,81,63,24.6,6.1,1.0,2.5,5.3,.470,0.0,0.0,.000,.470,1.1,1.8,.622,1.7,4.8,0.4,0.7,1.0,3.0
Klay Thompson,GSW,77,77,31.9,21.7,2.9,7.8,16.9,.463,3.1,7.1,.439,.555,2.9,3.3,.879,0.4,2.9,1.1,0.8,1.9,1.6
Tristan Thompson,CLE,82,15,26.8,8.5,0.5,3.3,6.0,.547,0.0,0.0,,.547,1.9,3.0,.641,3.3,4.7,0.4,0.7,1.0,2.3
Marcus Thornton,TOT,48,0,15.0,7.9,0.8,2.9,7.2,.406,1.1,3.0,.378,.484,1.0,1.2,.821,0.5,1.3,0.6,0.1,0.6,0.8
Marcus Thornton,BOS,39,0,16.4,8.9,0.9,3.3,7.8,.416,1.3,3.2,.419,.502,1.1,1.3,.824,0.5,1.4,0.5,0.2,0.6,0.9
Marcus Thornton,PHO,9,0,9.0,3.6,0.2,1.4,4.4,.325,0.2,2.1,.105,.350,0.4,0.6,.800,0.4,1.0,0.7,0.0,0.6,0.3
Anthony Tolliver,TOT,76,11,18.8,6.3,0.8,2.1,5.2,.410,1.4,3.8,.366,.545,0.7,0.9,.783,0.7,2.4,0.3,0.2,0.7,1.8
Anthony Tolliver,PHO,24,0,11.3,3.3,0.4,1.1,3.1,.351,1.0,2.6,.387,.514,0.2,0.3,.667,0.3,1.6,0.2,0.0,0.5,0.8
Anthony Tolliver,DET,52,11,22.3,7.7,0.9,2.6,6.1,.423,1.6,4.4,.360,.552,1.0,1.2,.794,0.9,2.8,0.4,0.3,0.8,2.3
P.J. Tucker,PHO,78,63,30.6,9.1,1.6,3.3,7.6,.438,1.1,3.2,.345,.511,1.3,1.8,.727,1.5,5.0,1.4,0.3,1.2,2.3
Ronny Turiaf,MIN,2,0,9.5,0.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0
Hedo Türkoğlu,LAC,62,2,11.4,3.7,0.6,1.3,3.0,.441,1.0,2.2,.432,.601,0.1,0.2,.545,0.1,1.5,0.3,0.1,0.5,1.1
Evan Turner,BOS,82,57,27.6,9.5,5.5,3.9,9.1,.429,0.4,1.5,.277,.451,1.3,1.7,.752,0.5,4.6,1.0,0.2,2.4,2.2
Ekpe Udoh,LAC,33,0,3.9,0.9,0.2,0.3,0.7,.458,0.0,0.0,,.458,0.2,0.3,.778,0.2,0.6,0.2,0.2,0.2,0.6
Beno Udrih,MEM,79,12,18.9,7.7,2.8,3.1,6.4,.487,0.3,1.2,.268,.513,1.1,1.3,.853,0.3,1.6,0.6,0.1,1.1,1.1
Jonas Valančiūnas,TOR,80,80,26.2,12.0,0.5,4.7,8.2,.572,0.0,0.0,.000,.572,2.7,3.5,.786,2.7,6.0,0.4,1.2,1.4,2.8
Anderson Varejão,CLE,26,26,24.5,9.8,1.3,4.3,7.7,.555,0.0,0.1,.000,.555,1.3,1.7,.733,2.2,4.3,0.7,0.6,1.3,2.2
