Player,Team,GP,GS,MPG,PPG,APG,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,DRB,STL,BLK,TOV,PF
Quincy Acy,TOR,29,0,11.8,4.0,0.4,1.4,2.6,.560,0.0,0.1,.500,.567,1.1,1.3,.816,1.0,1.6,0.4,0.5,0.6,1.8
Jeff Adrien,CHA,52,5,13.7,4.0,0.7,1.4,3.2,.429,0.0,0.0,.000,.429,1.3,1.9,.650,1.3,2.5,0.3,0.5,0.6,1.5
Arron Afflalo,ORL,64,64,36.0,16.5,3.2,6.2,14.1,.439,1.1,3.8,.300,.478,3.0,3.5,.857,0.5,3.3,0.6,0.2,2.2,2.1
Josh Akognon,DAL,3,0,3.0,1.7,0.3,0.7,1.3,.500,0.3,0.7,.500,.625,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,1.0
Cole Aldrich,TOT,45,0,8.6,2.2,0.2,1.0,1.8,.550,0.0,0.0,,.550,0.3,0.4,.600,0.7,2.0,0.1,0.5,0.5,1.3
Cole Aldrich,HOU,30,0,7.1,1.7,0.2,0.8,1.4,.535,0.0,0.0,,.535,0.1,0.3,.444,0.4,1.5,0.1,0.3,0.5,1.4
Cole Aldrich,SAC,15,0,11.7,3.3,0.2,1.4,2.5,.568,0.0,0.0,,.568,0.5,0.7,.727,1.2,3.0,0.1,0.9,0.6,1.3
LaMarcus Aldridge,POR,74,74,37.7,21.1,2.6,8.6,17.8,.484,0.0,0.2,.143,.485,3.8,4.7,.810,2.4,6.7,0.8,1.2,1.9,2.5
Lavoy Allen,PHI,79,37,21.1,5.8,0.9,2.6,5.7,.454,0.0,0.0,.000,.454,0.5,0.8,.717,2.0,3.0,0.3,0.7,0.7,2.3
Ray Allen*,MIA,79,0,25.8,10.9,1.7,3.7,8.2,.449,1.8,4.2,.419,.555,1.8,2.0,.886,0.5,2.2,0.8,0.2,1.3,1.6
Tony Allen,MEM,79,79,26.7,8.9,1.2,3.6,8.1,.445,0.0,0.3,.125,.447,1.7,2.4,.717,1.5,3.1,1.5,0.6,1.2,2.7
Al-Farouq Aminu,NOH,76,71,27.2,7.3,1.4,3.0,6.2,.475,0.1,0.3,.211,.479,1.3,1.8,.737,1.8,5.9,1.2,0.7,1.5,2.0
Lou Amundson,TOT,39,0,9.5,1.9,0.3,0.8,2.1,.395,0.0,0.0,,.395,0.3,0.9,.333,1.2,1.5,0.4,0.3,0.5,1.4
Lou Amundson,MIN,20,0,8.1,1.6,0.2,0.7,1.9,.368,0.0,0.0,,.368,0.2,1.0,.200,1.2,1.2,0.4,0.3,0.6,1.3
Lou Amundson,CHI,1,0,2.0,0.0,0.0,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0
Lou Amundson,NOH,18,0,11.6,2.4,0.4,1.0,2.3,.429,0.0,0.0,,.429,0.4,0.9,.500,1.3,1.9,0.5,0.3,0.4,1.5
Chris Andersen,MIA,42,0,14.9,4.9,0.4,1.7,2.9,.577,0.0,0.1,.667,.585,1.5,2.2,.677,1.4,2.7,0.4,1.0,0.6,2.1
Alan Anderson,TOR,65,2,23.0,10.7,1.6,3.6,9.5,.383,1.5,4.4,.333,.460,1.9,2.3,.857,0.5,1.8,0.7,0.1,1.2,2.0
James Anderson,TOT,39,2,10.3,3.8,1.1,1.3,3.2,.413,0.5,1.5,.350,.496,0.6,0.7,.857,0.5,1.4,0.4,0.1,0.6,0.6
James Anderson,SAS,10,0,9.4,3.4,0.9,1.1,2.5,.440,0.5,1.1,.455,.540,0.7,0.9,.778,0.3,1.1,0.3,0.2,0.7,0.7
James Anderson,HOU,29,2,10.6,4.0,1.1,1.4,3.5,.406,0.6,1.7,.327,.485,0.6,0.7,.895,0.5,1.5,0.4,0.1,0.6,0.6
Ryan Anderson,NOH,81,22,30.9,16.2,1.2,5.8,13.8,.423,2.6,6.9,.382,.519,1.9,2.2,.844,2.4,4.0,0.5,0.4,1.2,2.2
Carmelo Anthony,NYK,67,67,37.0,28.7,2.6,10.0,22.2,.449,2.3,6.2,.379,.502,6.3,7.6,.830,2.0,4.9,0.8,0.5,2.6,3.1
Joel Anthony,MIA,62,3,9.1,1.4,0.2,0.6,1.1,.515,0.0,0.0,,.515,0.3,0.5,.607,0.7,1.1,0.2,0.7,0.4,0.8
Trevor Ariza,WAS,56,15,26.3,9.5,2.0,3.4,8.1,.417,1.4,3.7,.364,.501,1.4,1.7,.821,0.8,4.0,1.3,0.4,1.5,1.3
Darrell Arthur,MEM,59,3,16.4,6.1,0.6,2.7,6.1,.451,0.1,0.3,.278,.458,0.6,0.8,.717,1.2,1.7,0.4,0.6,0.7,2.1
Ömer Aşık,HOU,82,82,30.0,10.1,0.9,4.0,7.5,.541,0.0,0.0,.000,.541,2.0,3.6,.562,3.4,8.3,0.6,1.1,2.1,2.7
D.J. Augustin,IND,76,5,16.1,4.7,2.2,1.4,3.9,.350,0.9,2.5,.353,.464,1.1,1.3,.838,0.3,0.9,0.4,0.0,0.9,0.8
Gustavo Ayón,TOT,55,3,13.3,3.7,1.3,1.7,3.0,.551,0.0,0.0,,.551,0.4,0.9,.400,1.1,2.5,0.4,0.3,0.9,1.9
Gustavo Ayón,ORL,43,3,13.3,3.6,1.4,1.6,2.9,.536,0.0,0.0,,.536,0.4,0.9,.500,0.9,2.3,0.3,0.3,0.9,1.9
