Player,Team,GP,MP,PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,STL,BLK,TOV,PF,ORtg,DRtg
Quincy Acy,TOR,29,342,18.0,1.7,6.5,11.6,.560,0.2,0.3,.500,4.8,5.9,.816,4.7,7.3,2.0,2.3,2.6,8.2,120,105
Jeff Adrien,CHA,52,713,15.4,2.7,5.3,12.4,.429,0.0,0.1,.000,4.8,7.4,.650,5.0,9.4,1.3,2.0,2.4,5.9,105,109
Arron Afflalo,ORL,64,2307,23.9,4.7,9.0,20.4,.439,1.6,5.4,.300,4.3,5.0,.857,0.7,4.7,0.9,0.2,3.1,3.1,102,112
Josh Akognon,DAL,3,9,28.4,5.7,11.3,22.7,.500,5.7,11.3,.500,0.0,0.0,,0.0,5.7,0.0,0.0,0.0,17.0,130,111
Cole Aldrich,TOT,45,388,13.0,1.2,5.7,10.4,.550,0.0,0.0,,1.6,2.6,.600,3.9,11.7,0.7,3.0,3.0,7.8,102,105
Cole Aldrich,HOU,30,213,11.7,1.4,5.4,10.1,.535,0.0,0.0,,0.9,2.1,.444,2.8,10.6,0.7,2.1,3.3,9.6,92,105
Cole Aldrich,SAC,15,175,14.6,0.9,6.2,10.8,.568,0.0,0.0,,2.3,3.2,.727,5.3,13.2,0.6,4.1,2.6,5.6,112,106
LaMarcus Aldridge,POR,74,2790,29.4,3.6,12.0,24.8,.484,0.0,0.3,.143,5.3,6.6,.810,3.3,9.3,1.2,1.7,2.7,3.5,108,107
Lavoy Allen,PHI,79,1669,14.4,2.3,6.5,14.3,.454,0.0,0.0,.000,1.4,1.9,.717,5.0,7.5,0.8,1.7,1.7,5.7,103,106
Ray Allen*,MIA,79,2035,22.5,3.5,7.6,16.9,.449,3.6,8.6,.419,3.6,4.1,.886,1.0,4.6,1.7,0.4,2.7,3.4,112,107
Tony Allen,MEM,79,2109,18.1,2.5,7.3,16.4,.445,0.1,0.6,.125,3.4,4.8,.717,3.1,6.2,3.1,1.1,2.4,5.4,102,98
Al-Farouq Aminu,NOH,76,2066,14.6,2.7,5.9,12.4,.475,0.1,0.5,.211,2.7,3.6,.737,3.6,11.7,2.4,1.3,3.0,4.0,101,105
Lou Amundson,TOT,39,372,10.8,1.6,4.6,11.6,.395,0.0,0.0,,1.7,5.1,.333,6.9,8.3,2.3,1.7,2.7,7.6,89,105
Lou Amundson,MIN,20,161,10.3,1.0,4.5,12.2,.368,0.0,0.0,,1.3,6.4,.200,7.4,7.7,2.2,1.9,3.5,8.3,77,103
Lou Amundson,CHI,1,2,0.0,0.0,0.0,26.9,.000,0.0,0.0,,0.0,0.0,,26.9,0.0,0.0,0.0,0.0,0.0,59,113
Lou Amundson,NOH,18,209,11.4,2.1,4.7,10.9,.429,0.0,0.0,,2.1,4.2,.500,6.2,8.8,2.3,1.6,2.1,7.0,102,106
Chris Andersen,MIA,42,624,17.6,1.4,6.0,10.4,.577,0.2,0.3,.667,5.3,7.9,.677,4.8,9.8,1.4,3.7,2.0,7.6,125,100
Alan Anderson,TOR,65,1495,24.6,3.7,8.4,21.9,.383,3.4,10.1,.333,4.5,5.2,.857,1.2,4.0,1.7,0.2,2.8,4.7,101,110
James Anderson,TOT,39,401,18.6,5.3,6.5,15.8,.413,2.6,7.5,.350,3.0,3.5,.857,2.3,6.8,1.9,0.6,3.1,3.1,107,105
James Anderson,SAS,10,94,18.4,4.9,6.0,13.6,.440,2.7,6.0,.455,3.8,4.9,.778,1.6,6.0,1.6,1.1,3.8,3.8,105,103
James Anderson,HOU,29,307,18.7,5.4,6.7,16.4,.406,2.6,8.0,.327,2.8,3.1,.895,2.4,7.0,2.0,0.5,2.9,2.9,108,106
Ryan Anderson,NOH,81,2503,28.4,2.1,10.2,24.2,.423,4.6,12.1,.382,3.3,3.9,.844,4.1,7.1,0.9,0.7,2.1,3.9,114,112
Carmelo Anthony,NYK,67,2482,41.4,3.7,14.4,32.1,.449,3.4,8.9,.379,9.2,11.0,.830,2.9,7.0,1.1,0.7,3.8,4.4,112,108
Joel Anthony,MIA,62,566,8.1,1.2,3.3,6.4,.515,0.0,0.0,,1.6,2.6,.607,4.2,6.5,1.2,3.9,2.1,4.6,108,103
Trevor Ariza,WAS,56,1471,18.8,4.0,6.7,16.0,.417,2.7,7.4,.364,2.8,3.4,.821,1.6,7.9,2.5,0.7,3.0,2.5,102,101
Darrell Arthur,MEM,59,970,20.3,1.8,9.1,20.1,.451,0.3,1.0,.278,1.8,2.6,.717,3.8,5.7,1.3,1.8,2.4,7.1,99,102
Ömer Aşık,HOU,82,2464,16.9,1.5,6.7,12.4,.541,0.0,0.0,.000,3.4,6.1,.562,5.6,13.8,0.9,1.8,3.5,4.5,105,103
D.J. Augustin,IND,76,1226,15.5,7.4,4.5,12.8,.350,2.9,8.2,.353,3.6,4.3,.838,0.9,3.1,1.5,0.1,3.0,2.8,109,104
Gustavo Ayón,TOT,55,734,14.4,5.0,6.5,11.8,.551,0.0,0.0,,1.4,3.5,.400,4.2,9.8,1.6,1.2,3.3,7.5,103,106
Gustavo Ayón,ORL,43,571,14.0,5.4,6.1,11.4,.536,0.0,0.0,,1.7,3.5,.500,3.6,9.1,1.2,1.2,3.5,7.6,102,108
Gustavo Ayón,MIL,12,163,15.9,3.7,7.8,13.1,.595,0.0,0.0,,0.3,3.7,.083,6.2,12.1,2.8,1.2,2.8,7.5,106,99
Jeff Ayres,IND,37,369,20.9,2.2,8.8,18.2,.484,0.3,0.6,.500,3.0,3.3,.913,4.2,10.8,0.9,1.7,3.3,6.3,104,99
Luke Babbitt,POR,62,730,17.6,2.1,6.2,16.8,.368,4.5,12.8,.348,0.7,0.9,.769,1.1,8.8,1.0,0.4,1.6,5.9,102,109
Leandro Barbosa,BOS,41,513,21.9,5.9,8.5,19.7,.430,1.8,4.8,.383,3.2,4.2,.756,0.8,3.9,1.7,0.6,2.1,5.2,103,106
J.J. Barea,MIN,74,1713,25.2,8.9,9.5,22.9,.417,2.9,8.5,.346,3.2,4.0,.784,1.0,5.2,1.0,0.0,4.4,4.0,101,109
Andrea Bargnani,TOR,35,1003,23.5,2.0,9.0,22.6,.399,2.0,6.5,.309,3.4,4.1,.844,1.4,5.4,1.1,1.2,2.9,3.4,94,109
Harrison Barnes,GSW,81,2058,18.5,2.4,6.8,15.5,.439,1.3,3.6,.359,3.6,4.7,.758,1.3,6.9,1.3,0.3,2.5,3.5,102,107
Matt Barnes,LAC,80,2058,21.0,3.1,8.0,17.3,.462,2.8,8.3,.342,2.2,3.0,.744,2.8,6.5,2.1,1.6,2.3,6.0,113,103
Earl Barron,TOT,12,159,12.9,1.6,5.9,16.8,.353,0.0,0.0,,1.0,2.3,.429,7.2,12.9,1.6,2.0,3.6,7.9,81,99
Earl Barron,WAS,11,122,12.0,1.3,5.5,15.8,.351,0.0,0.0,,0.9,2.1,.400,6.8,11.5,2.1,2.1,4.3,9.8,76,97
Earl Barron,NYK,1,37,15.9,2.9,7.2,20.2,.357,0.0,0.0,,1.4,2.9,.500,8.7,17.3,0.0,1.4,1.4,1.4,98,103
Will Barton,POR,73,894,17.3,3.4,6.9,18.2,.382,0.5,3.8,.138,2.9,3.8,.769,2.1,6.4,2.0,0.5,3.5,3.3,87,109
Brandon Bass,BOS,81,2239,16.4,2.0,6.7,13.8,.486,0.0,0.0,.000,3.0,3.5,.860,3.0,6.9,1.0,1.5,1.9,4.4,107,104
Shane Battier,MIA,72,1786,14.0,2.1,4.5,10.7,.420,4.0,9.4,.430,0.9,1.1,.842,1.1,3.8,1.2,1.6,1.0,4.4,122,107
Nicolas Batum,POR,73,2807,19.6,6.7,6.6,15.6,.423,3.1,8.3,.372,3.3,3.9,.848,1.8,5.9,1.7,1.6,3.6,2.6,109,109
Jerryd Bayless,MEM,80,1765,21.3,8.1,8.0,19.1,.419,2.2,6.2,.353,3.1,3.8,.836,0.7,4.7,1.8,0.5,3.7,5.2,104,103
Aron Baynes,SAS,16,141,15.5,1.8,6.5,13.0,.500,0.0,0.4,.000,2.5,4.3,.583,4.3,7.2,0.4,2.2,4.0,8.3,94,103
Kent Bazemore,GSW,61,267,23.4,4.2,8.2,22.1,.371,1.9,6.5,.294,5.1,8.4,.614,1.0,3.2,3.2,0.8,3.4,5.1,91,104
Bradley Beal,WAS,56,1745,23.3,4.1,8.4,20.5,.410,2.7,7.0,.386,3.7,4.7,.786,1.3,5.0,1.5,0.9,2.7,3.4,102,105
Michael Beasley,PHO,75,1554,25.1,3.7,10.2,25.3,.405,1.5,4.8,.313,3.1,4.2,.746,1.7,7.6,1.0,1.1,4.8,3.5,87,109
