Pick Number,Team,Player,NBA Seasons
1,MIN,Karl-Anthony Towns,4
2,LAL,D'Angelo Russell,4
3,PHI,Jahlil Okafor,4
4,NYK,Kristaps Porziņģis,3
5,ORL,Mario Hezonja,4
6,SAC,Willie Cauley-Stein,4
7,DEN,Emmanuel Mudiay,4
8,DET,Stanley Johnson,4
9,CHO,Frank Kaminsky,4
10,MIA,Justise Winslow,4
11,IND,Myles Turner,4
12,UTA,Trey Lyles,4
13,PHO,Devin Booker,4
14,OKC,Cameron Payne,4
15,ATL,Kelly Oubre,4
16,BOS,Terry Rozier,4
17,MIL,Rashad Vaughn,3
18,HOU,Sam Dekker,4
19,WAS,Jerian Grant,4
20,TOR,Delon Wright,4
21,DAL,Justin Anderson,4
22,CHI,Bobby Portis,4
23,POR,Rondae Hollis-Jefferson,4
24,CLE,Tyus Jones,4
25,MEM,Jarell Martin,4
26,SAS,Nikola Milutinov,
27,LAL,Larry Nance,4
28,BOS,R.J. Hunter,4
29,BRK,Chris McCullough,3
30,GSW,Kevon Looney,4
31,MIN,Cedi Osman,2
32,HOU,Montrezl Harrell,4
33,BOS,Jordan Mickey,3
34,LAL,Anthony Brown,3
35,PHI,Willy Hernangómez,3
36,MIN,Rakeem Christmas,2
37,PHI,Richaun Holmes,4
38,DET,Darrun Hilliard,3
39,CHO,Juan Pablo Vaulet,
40,MIA,Josh Richardson,4
41,BRK,Pat Connaughton,4
42,UTA,Olivier Hanlan,
43,IND,Joe Young,3
44,PHO,Andrew Harrison,3
45,BOS,Marcus Thornton,
46,MIL,Norman Powell,4
47,PHI,Artūras Gudaitis,
48,OKC,Dakari Johnson,1
49,WAS,Aaron White,
50,ATL,Marcus Eriksson,
51,ORL,Tyler Harvey,
52,DAL,Satnam Singh Bhamara,
53,CLE,Sir'Dominic Pointer,
54,UTA,Dani Díez de la Faya,
55,SAS,Cady Lalanne,
56,NOP,Branden Dawson,1
57,DEN,Nikola Radičević,
58,PHI,J.P. Tokoto,
59,ATL,Dimitrios Agravanis,
60,PHI,Luka Mitrović,
