Pick Number,Team,Player,NBA Seasons
1,CLE,Andrew Wiggins,5
2,MIL,Jabari Parker,5
3,PHI,Joel Embiid,3
4,ORL,Aaron Gordon,5
5,UTA,Dante Exum,4
6,BOS,Marcus Smart,5
7,LAL,Julius Randle,5
8,SAC,Nik Stauskas,5
9,CHH,Noah Vonleh,5
10,PHI,Elfrid Payton,5
11,DEN,Doug McDermott,5
12,ORL,Dario Šarić,3
13,MIN,Zach LaVine,5
14,PHO,T.J. Warren,5
15,ATL,Adreian Payne,4
16,CHI,Jusuf Nurkić,5
17,BOS,James Young,4
18,PHO,Tyler Ennis,4
19,CHI,Gary Harris,5
20,TOR,Bruno Caboclo,5
21,OKC,Mitch McGary,2
22,MEM,Jordan Adams,2
23,UTA,Rodney Hood,5
24,CHH,Shabazz Napier,5
25,HOU,Clint Capela,5
26,MIA,P.J. Hairston,2
27,PHO,Bogdan Bogdanović,2
28,LAC,C.J. Wilcox,3
29,OKC,Josh Huestis,3
30,SAS,Kyle Anderson,5
31,MIL,Damien Inglis,1
32,PHI,K.J. McDaniels,3
33,CLE,Joe Harris,5
34,NYK,Cleanthony Early,2
35,UTA,Jarnell Stokes,3
36,MIL,Johnny O'Bryant,4
37,TOR,DeAndre Daniels,
38,DET,Spencer Dinwiddie,5
39,PHI,Jerami Grant,5
40,MIN,Glenn Robinson,5
41,DEN,Nikola Jokić,4
42,HOU,Nick Johnson,1
43,ATL,Edy Tavares,2
44,MIN,Markel Brown,3
45,CHH,Dwight Powell,5
46,WAS,Jordan Clarkson,5
47,PHI,Russ Smith,2
48,MIL,Lamar Patterson,2
49,CHI,Cameron Bairstow,2
50,PHO,Alec Brown,
51,NYK,Thanasis Antetokounmpo,1
52,PHI,Vasilije Micić,
53,MIN,Alessandro Gentile,
54,PHI,Nemanja Dangubić,
55,MIA,Semaj Christon,1
56,DEN,Devyn Marble,2
57,IND,Louis Labeyrie,
58,SAS,Jordan McRae,3
59,TOR,Xavier Thames,
60,SAS,Cory Jefferson,2
