Pick Number,Team,Player,NBA Seasons
1,PHI,Ben Simmons,2
2,LAL,Brandon Ingram,3
3,BOS,Jaylen Brown,3
4,PHO,Dragan Bender,3
5,MIN,Kris Dunn,3
6,NOP,Buddy Hield,3
7,DEN,Jamal Murray,3
8,SAC,Marquese Chriss,3
9,TOR,Jakob Pöltl,3
10,MIL,Thon Maker,3
11,ORL,Domantas Sabonis,3
12,UTA,Taurean Waller-Prince,3
13,PHO,Georgios Papagiannis,2
14,CHI,Denzel Valentine,2
15,DEN,Juan Hernangómez,3
16,BOS,Guerschon Yabusele,2
17,MEM,Wade Baldwin,3
18,DET,Henry Ellenson,3
19,DEN,Malik Beasley,3
20,IND,Caris LeVert,3
21,ATL,DeAndre' Bembry,3
22,CHO,Malachi Richardson,3
23,BOS,Ante Žižić,2
24,PHI,Timothé Luwawu-Cabarrot,3
25,LAC,Brice Johnson,2
26,PHI,Furkan Korkmaz,2
27,TOR,Pascal Siakam,3
28,PHO,Skal Labissière,3
29,SAS,Dejounte Murray,2
30,GSW,Damian Jones,3
31,BOS,Deyonta Davis,3
32,LAL,Ivica Zubac,3
33,LAC,Cheick Diallo,3
34,PHO,Tyler Ulis,3
35,BOS,Rade Zagorac,
36,MIL,Malcolm Brogdon,3
37,HOU,Chinanu Onuaku,2
38,MIL,Patrick McCaw,3
39,NOP,David Michineau,
40,NOP,Diamond Stone,1
41,ORL,Stephen Zimmerman,1
42,UTA,Isaiah Whitehead,2
43,HOU,Zhou Qi,2
44,ATL,Isaïa Cordinier,
45,BOS,Demetrius Jackson,3
46,DAL,A.J. Hammons,1
47,ORL,Jake Layman,3
48,CHI,Paul Zipser,2
49,DET,Michael Gbinije,1
50,IND,Georges Niang,3
51,BOS,Ben Bentil,1
52,UTA,Joel Bolomboy,2
53,DEN,Petr Cornelie,
54,ATL,Kay Felder,2
55,BRK,Marcus Paige,1
56,DEN,Daniel Hamilton,2
57,MEM,Wang Zhelin,
58,BOS,Abdel Nader,2
59,SAC,Isaiah Cousins,
60,UTA,Tyrone Wallace,2
