Pick Number,Team,Player,NBA Seasons
1,NOH,Anthony Davis,7
2,CHA,Michael Kidd-Gilchrist,7
3,WAS,Bradley Beal,7
4,CLE,Dion Waiters,7
5,SAC,Thomas Robinson,5
6,POR,Damian Lillard,7
7,GSW,Harrison Barnes,7
8,TOR,Terrence Ross,7
9,DET,Andre Drummond,7
10,NOH,Austin Rivers,7
11,POR,Meyers Leonard,7
12,HOU,Jeremy Lamb,7
13,PHO,Kendall Marshall,4
14,MIL,John Henson,7
15,PHI,Maurice Harkless,7
16,HOU,Royce White,1
17,DAL,Tyler Zeller,7
18,HOU,Terrence Jones,6
19,ORL,Andrew Nicholson,5
20,DEN,Evan Fournier,7
21,BOS,Jared Sullinger,5
22,BOS,Fab Melo,1
23,ATL,John Jenkins,6
24,CLE,Jared Cunningham,4
25,MEM,Tony Wroten,4
26,IND,Miles Plumlee,7
27,MIA,Arnett Moultrie,2
28,OKC,Perry Jones,3
29,CHI,Marquis Teague,3
30,GSW,Festus Ezeli,3
31,CHA,Jeffery Taylor,3
32,WAS,Tomáš Satoranský,3
33,CLE,Bernard James,3
34,CLE,Jae Crowder,7
35,GSW,Draymond Green,7
36,SAC,Orlando Johnson,3
37,TOR,Quincy Acy,7
38,DEN,Quincy Miller,3
39,DET,Khris Middleton,7
40,POR,Will Barton,7
41,POR,Tyshawn Taylor,2
42,MIL,Doron Lamb,2
43,ATL,Mike Scott,7
44,DET,Kim English,1
45,PHI,Justin Hamilton,3
46,NOH,Darius Miller,5
47,UTA,Kevin Murphy,1
48,NYK,Kostas Papanikolaou,2
49,ORL,Kyle O'Quinn,7
50,DEN,İzzet Türkyılmaz,
51,BOS,Kris Joseph,1
52,GSW,Ognjen Kuzmić,2
53,LAC,Furkan Aldemir,1
54,PHI,Tornike Shengelia,2
55,DAL,Darius Johnson-Odom,2
56,TOR,Tomislav Zubčić,
57,NJN,İlkan Karaman,
58,MIN,Robbie Hummel,2
59,SAS,Marcus Denmon,
60,LAL,Robert Sacre,4
