Pick Number,Team,Player,NBA Seasons
1,PHO,Deandre Ayton,1
2,SAC,Marvin Bagley,1
3,ATL,Luka Dončić,1
4,MEM,Jaren Jackson,1
5,DAL,Trae Young,1
6,ORL,Mohamed Bamba,1
7,CHI,Wendell Carter,1
8,CLE,Collin Sexton,1
9,NYK,Kevin Knox,1
10,PHI,Mikal Bridges,1
11,CHO,Shai Gilgeous-Alexander,1
12,LAC,Miles Bridges,1
13,LAC,Jerome Robinson,1
14,DEN,Michael Porter,
15,WAS,Troy Brown,1
16,PHO,Zhaire Smith,1
17,MIL,Donte DiVincenzo,1
18,SAS,Lonnie Walker,1
19,ATL,Kevin Huerter,1
20,MIN,Josh Okogie,1
21,UTA,Grayson Allen,1
22,CHI,Chandler Hutchison,1
23,IND,Aaron Holiday,1
24,POR,Anfernee Simons,1
25,LAL,Moritz Wagner,1
26,PHI,Landry Shamet,1
27,BOS,Robert Williams,1
28,GSW,Jacob Evans,1
29,BRK,Džanan Musa,1
30,ATL,Omari Spellman,1
31,PHO,Élie Okobo,1
32,MEM,Jevon Carter,1
33,DAL,Jalen Brunson,1
34,ATL,Devonte' Graham,1
35,ORL,Melvin Frazier,1
36,NYK,Mitchell Robinson,1
37,SAC,Gary Trent,1
38,PHI,Khyri Thomas,1
39,PHI,Isaac Bonga,1
40,BRK,Rodions Kurucs,1
41,ORL,Jarred Vanderbilt,1
42,DET,Bruce Brown,1
43,DEN,Justin Jackson,
44,WAS,Issuf Sanon,
45,BRK,Hamidou Diallo,1
46,HOU,De'Anthony Melton,1
47,LAL,Sviatoslav Mykhailiuk,1
48,MIN,Keita Bates-Diop,1
49,SAS,Chimezie Metu,1
50,IND,Alize Johnson,1
51,NOP,Tony Carr,
52,UTA,Vince Edwards,1
53,OKC,Devon Hall,
54,DAL,Shake Milton,1
55,CHO,Arnoldas Kulboka,
56,PHI,Ray Spalding,1
57,OKC,Kevin Hervey,
58,DEN,Thomas Welsh,1
59,PHO,George King,1
60,PHI,Kostas Antetokounmpo,1
