Player,Position,Experience
Jae Crowder,F,7
Solomon Hill,F,6
Miles Plumlee,C-F,7
Josh Jackson,F-G,2
Andre Iguodala,G-F,15
Dillon Brooks,F-G,2
Ivan Rabb,F,2
Jaren Jackson Jr.,F,1
Grayson Allen,G,1
Kyle Anderson,F-G,5
Dwight Howard,C,15
Yuta Watanabe  (TW),F,1
De'Anthony Melton,G,1
Bruno Caboclo,F,5
Ja Morant,G,R
Brandon Clarke,F,R
Tyus Jones,G,4
Jonas Valančiūnas,C,7
