Player,Position,Experience
Anthony Davis,F-C,7
Kyle Kuzma,F,2
LeBron James,F-G,16
Talen Horton-Tucker,G-F,R
Danny Green,G-F,10
DeMarcus Cousins,C-F,9
Kentavious Caldwell-Pope,G,6
JaVale McGee,C,11
Quinn Cook,G,3
Jared Dudley,F-G,12
Troy Daniels,G,6
Alex Caruso,G,2
Rajon Rondo,G,13
Avery Bradley,G,9
