Player,Position,Experience
Giannis Antetokounmpo,F-G,6
D.J. Wilson,F,2
Sterling Brown,G,2
Donte DiVincenzo,G,1
Ersan İlyasova,F,11
Pat Connaughton,G,4
Eric Bledsoe,G,9
Bonzie Colson  (TW),F,1
Brook Lopez,C,11
George Hill,G,11
Khris Middleton,F-G,7
Robin Lopez,C,11
Wesley Matthews,G,10
Thanasis Antetokounmpo,F,1
