Player,Position,Experience
Goran Dragić,G,11
Meyers Leonard,C-F,7
Bam Adebayo,C-F,2
James Johnson,F,10
Dion Waiters,G,7
Kelly Olynyk,C-F,6
Derrick Jones Jr.,F,3
Justise Winslow,F,4
Yante Maten,F,1
Duncan Robinson,G,1
Kendrick Nunn,G,R
KZ Okpala,F,R
Tyler Herro,G,R
Jimmy Butler,F-G,8
