Player,Position,Experience
Maurice Harkless,F-G,7
Lou Williams,G,14
Landry Shamet,G,1
Jerome Robinson,G,1
Paul George,F,9
Montrezl Harrell,F-C,4
Mfiondu Kabengele,F,R
Terance Mann,G-F,R
Kawhi Leonard,F,8
Ivica Zubac,C,3
Patrick Beverley,G,7
JaMychal Green,F,5
