Player,Position,Experience
Marc Gasol,C,11
Pascal Siakam,F,3
OG Anunoby,F,2
Kyle Lowry,G,13
Serge Ibaka,F-C,10
Norman Powell,G,4
Fred VanVleet,G,3
Malcolm Miller,F,2
Chris Boucher,F,2
Jordan Loyd  (TW),G,1
Dewan Hernandez,F,R
Patrick McCaw,G,3
Stanley Johnson,F,4
Rondae Hollis-Jefferson,F,4
