Player,Position,Experience
Michael Kidd-Gilchrist,F,7
Cody Zeller,C-F,6
Nicolas Batum,F-G,11
Bismack Biyombo,C-F,8
Marvin Williams,F,14
Willy Hernang�mez,C,3
Malik Monk,G,2
Dwayne Bacon,G,2
Miles Bridges,G-F,1
Devonte' Graham,G,1
PJ Washington,F,R
Terry Rozier,G,4
