Player,Position,Experience
Dejounte Murray,G,2
DeMar DeRozan,G-F,10
Jakob Pöltl,C,3
Derrick White,G,2
Patty Mills,G,10
LaMarcus Aldridge,F-C,13
Lonnie Walker,G,1
Marco Belinelli,G-F,12
Bryn Forbes,G,3
Chimezie Metu,F,1
Drew Eubanks  (TW),F,1
Luka Šamanić,F,R
Keldon Johnson,G,R
Quinndary Weatherspoon  (TW),G,R
DeMarre Carroll,F,10
Rudy Gay,F,13
Trey Lyles,F,4
