Player,Position,Experience
Taurean Prince,F,3
Caris LeVert,G-F,3
Jarrett Allen,C-F,2
Džanan Musa,G-F,1
Rodions Kurucs,F,1
Joe Harris,G,5
Spencer Dinwiddie,G,5
Nicolas Claxton,F,R
Kevin Durant,F-G,12
DeAndre Jordan,C,11
Kyrie Irving,G,8
Wilson Chandler,F,11
Garrett Temple,G,9
Theo Pinson,G,1
David Nwaba,G,3
Henry Ellenson  (TW),F,3
