Player,Position,Experience
Denzel Valentine,G,2
Kris Dunn,G,3
Lauri Markkanen,F-C,2
Cristiano Felício,F-C,4
Otto Porter,F,6
Chandler Hutchison,G,1
Wendell Carter Jr.,C,1
Zach LaVine,G,5
Antonio Blakeney,G,2
Coby White,G,R
Daniel Gafford,F,R
Tomáš Satoranský,G,3
Thaddeus Young,F,12
Ryan Arcidiacono,G,2
Luke Kornet,F,2
Shaquille Harrison,G,2
