Player,Position,Experience
Reggie Jackson,G,8
Andre Drummond,C,7
Thon Maker,F-C,3
Luke Kennard,G,2
Langston Galloway,G,5
Blake Griffin,F,9
Tony Snell,G-F,6
Bruce Brown,G,1
Sviatoslav Mykhailiuk,G-F,1
Khyri Thomas,G,1
Sekou Doumbouya,F,R
Jordan Bone  (TW),G,R
Derrick Rose,G,10
Markieff Morris,F,8
Tim Frazier,G,5
Christian Wood,F,3
