Player,Position,Experience
Gorgui Dieng,C,6
Jeff Teague,G,10
Andrew Wiggins,F-G,5
Robert Covington,F,6
Josh Okogie,G,1
Keita Bates-Diop,F,1
Shabazz Napier,G,5
Treveon Graham,G,3
Karl-Anthony Towns,C-F,4
Jarrett Culver,G,R
Jake Layman,F,3
Tyrone Wallace,G,2
Noah Vonleh,F,5
