Player,Position,Experience
Frank Ntilikina,G,2
Dennis Smith Jr.,G,2
Damyean Dotson,G,2
Kevin Knox,F,1
Mitchell Robinson,C,1
Allonzo Trier,G,1
Kadeem Allen  (TW),G,2
RJ Barrett,G-F,R
Ignas Brazdeikis,F,R
Julius Randle,F-C,5
Taj Gibson,F,10
Bobby Portis,F,4
Wayne Ellington,G,10
Elfrid Payton,G,5
Marcus Morris,F,8
Reggie Bullock,G-F,6
