Player,Position,Experience
Draymond Green,F,7
Stephen Curry,G,10
Jacob Evans,G-F,1
Alfonzo McKinnie,F,2
Jordan Poole,G,R
Alen Smailagić,F,R
Eric Paschall,F,R
D'Angelo Russell,G,4
Willie Cauley-Stein,F-C,4
Glenn Robinson III,G-F,5
Klay Thompson,G-F,8
Kevon Looney,F-C,4
Alec Burks,G,8
