Player,Position,Experience
Jaylen Brown,F-G,3
Jayson Tatum,F,2
Gordon Hayward,F-G,9
Semi Ojeleye,F,2
Robert Williams,F,1
Marcus Smart,G,5
Romeo Langford,G,R
Grant Williams,F,R
Kemba Walker,G,8
Carsen Edwards,G,R
Daniel Theis,C,2
Enes Kanter,C,8
Brad Wanamaker,G,1
