Player,Position,Experience
Buddy Hield,G,3
Caleb Swanigan,F,2
Harry Giles,F-C,1
De'Aaron Fox,G,2
Bogdan Bogdanović,G,2
Marvin Bagley III,F,1
Nemanja Bjelica,F,4
Yogi Ferrell,G,3
B.J. Johnson,G,1
Wenyen Gabriel  (TW),F,R
Kyle Guy  (TW),G,R
Justin James,G,R
Cory Joseph,G,8
Trevor Ariza,F,15
Harrison Barnes,F,7
Dewayne Dedmon,C,6
Richaun Holmes,F-C,4
Tyler Lydon,F,2
