Player,Position,Experience
Dwight Powell,F-C,5
Courtney Lee,G,11
Justin Jackson,G-F,2
Tim Hardaway Jr.,G,6
Luka Dončić,G-F,1
Ryan Broekhoff,F,1
Jalen Brunson,G,1
Kostas Antetokounmpo  (TW),F,1
Daryl Macon  (TW),G,1
Delon Wright,G,4
Seth Curry,G,5
Maxi Kleber,F,2
Dorian Finney-Smith,F,3
Kristaps Porziņģis,F-C,3
