Player,Position,Experience
Dennis Schröder,G,6
Steven Adams,C,6
Danilo Gallinari,F,10
Patrick Patterson,F,9
Abdel Nader,F,2
Andre Roberson,G-F,5
Terrance Ferguson,G-F,2
Shai Gilgeous-Alexander,G,1
Chris Paul,G,14
Hamidou Diallo,G,1
Deonte Burton,G,1
Donte Grantham  (TW),F,1
Darius Bazley,F,R
Nerlens Noel,C-F,5
Mike Muscala,F-C,6
