Player,Position,Experience
Tyler Johnson,G,5
Dario Šarić,F,3
Deandre Ayton,C,1
Mikal Bridges,G,1
Aron Baynes,C,7
Élie Okobo,G,1
Devin Booker,G,4
Jevon Carter,G,1
Cameron Johnson,F,R
Ty Jerome,G,R
Ricky Rubio,G,8
Kelly Oubre Jr.,F,4
Frank Kaminsky,F-C,4
