Player,Position,Experience
James Harden,G,10
Eric Gordon,G,11
P.J. Tucker,F,8
Russell Westbrook,G,11
Isaiah Hartenstein,F,1
Clint Capela,C,5
Gary Clark,F,1
Deyonta Davis,C-F,3
Chris Chiozza,G,1
Michael Frazier,G,R
Danuel House,G,3
Austin Rivers,G,7
Tyson Chandler,C,18
