Player,Position,Experience
Ian Mahinmi,C,11
Bradley Beal,G,7
C.J. Miles,G-F,14
John Wall,G,9
Moritz Wagner,F-C,1
Troy Brown Jr.,G-F,1
Isaac Bonga,G,1
Dāvis Bertāns,F,3
Jemerrio Jones,F,1
Jordan McRae,G,3
Tarik Phillip,G,R
Rui Hachimura,F,R
Admiral Schofield,G-F,R
Thomas Bryant,C,2
Ish Smith,G,9
Isaiah Thomas,G,8
