Player,Position,Experience
E'Twaun Moore,G-F,8
Brandon Ingram,F,3
Lonzo Ball,G,2
Josh Hart,G,2
Jrue Holiday,G,10
Frank Jackson,G,1
Derrick Favors,F-C,9
Kenrich Williams,G-F,1
Jahlil Okafor,C-F,4
Zion Williamson,F,R
Jaxson Hayes,F,R
Nickeil Alexander-Walker,G,R
J.J. Redick,G,13
Nicol� Melli,F,R
