Player,Position,Experience
Victor Oladipo,G,6
Domantas Sabonis,F-C,3
T.J. Leaf,F,2
T.J. Warren,F,5
Aaron Holiday,G,1
Doug McDermott,F,5
Alize Johnson,F,1
Myles Turner,C-F,4
C.J. Wilcox,G,3
Malcolm Brogdon,G,3
Goga Bitadze,C,R
Jeremy Lamb,G-F,7
