Player,Position,Experience
Rudy Gobert,C,6
Mike Conley,G,12
Donovan Mitchell,G,2
Tony Bradley,F-C,2
Royce O'Neale,F,2
Joe Ingles,F-G,5
Dante Exum,G,4
Georges Niang,F,3
Miye Oni,G,R
Bojan Bogdanović,G-F,5
Jarrell Brantley,F,R
Justin Wright-Foreman,G,R
