Player,Position,Experience
D.J. Augustin,G,11
Evan Fournier,G-F,7
Jonathan Isaac,F,2
Markelle Fultz,G,2
Wesley Iwundu,F,2
Mohamed Bamba,C,1
Aaron Gordon,F,5
Melvin Frazier,G,1
Al-Farouq Aminu,F,9
Nikola Vučević,C,8
Terrence Ross,F-G,7
Michael Carter-Williams,G,6
Khem Birch,C-F,2
