Player,Position,Experience
Chandler Parsons,F,8
Evan Turner,G,9
Allen Crabbe,G-F,6
DeAndre' Bembry,F,3
Damian Jones,F-C,3
John Collins,F,2
Trae Young,G,1
Kevin Huerter,G,1
Alex Len,C,6
De'Andre Hunter,F,R
Cam Reddish,F,R
Bruno Fernando,F,R
Jabari Parker,F,5
