Player,Position,Experience
Malik Beasley,G,3
Jamal Murray,G,3
Juan Hernangómez,F,3
Paul Millsap,F,13
Mason Plumlee,C-F,6
Gary Harris,G,5
Michael Porter Jr.,F,R
Jerami Grant,F,5
Torrey Craig,G-F,2
Nikola Jokić,C-F,4
Will Barton,G,7
Jarred Vanderbilt,F,1
Thomas Welsh  (TW),C,1
Monte Morris,G,2
