Player,Position,Experience
John Henson,C-F,7
Brandon Knight,G,7
Tristan Thompson,F-C,8
Jordan Clarkson,G,5
Matthew Dellavedova,G,6
Ante Žižić,F-C,2
Cedi Osman,F,2
Collin Sexton,G,1
Kevin Love,F,11
Larry Nance Jr.,F-C,4
Darius Garland,G,R
Dylan Windler,G-F,R
Kevin Porter Jr.,G,R
